,Name,GP,MP,USG%,TOV%,STL%,AST%,ORB%,DRB%,FTR,PF,FT%,RIM FGM,RIM FGA,3-10 FGM,3-10 FGA,10-16 FGM,10-16 FGA,16-23 FGM,16-23 FGA,MR FGM,MR FGA,3P%,RIM DFGA,RIM DFG%
50,Corey Brewer,58,923,13.1,12.7,2,9,2.5,11.2,0.194,104,0.727,52,87,15,38,2,5,3,3,20,46,0.234,78,64.1
51,Malcolm Brogdon,55,1406,18.1,15.2,2.3,23.9,2.7,9.3,0.215,101,0.851,94,172,19,58,14,42,12,39,45,139,0.417,115,72.2
52,Aaron Brooks,46,660,19.6,17.3,1.7,22.5,2.4,6.4,0.128,65,0.793,17,40,15,34,17,27,9,24,41,85,0.337,43,76.7
53,Anthony Brown,11,159,15.6,10.7,1.5,7.7,5.3,16.9,0,15,0,4,7,2,5,1,3,4,8,7,16,0.259,15,73.3
54,Jaylen Brown,53,821,18,11.2,1.3,6.1,3.8,14.8,0.337,91,0.721,65,109,14,39,5,19,3,15,22,73,0.304,63,54
55,Nicolas Brussino,36,246,14.1,15.1,2.1,15.4,4.5,16.5,0.155,21,0.667,3,4,2,2,1,2,5,11,8,15,0.308,23,56.5
56,Reggie Bullock,14,217,15,8.2,1.4,8,3,11.5,0.062,15,0.5,13,16,1,5,2,5,2,7,5,17,0.313,17,64.7
57,Trey Burke,51,643,19.6,14.7,0.8,21,1.3,6.6,0.107,49,0.72,18,35,9,20,23,44,30,73,62,137,0.417,43,69.8
58,Alec Burks,21,319,22.7,11.7,2,6.9,1.9,11.9,0.376,29,0.682,15,33,8,14,9,12,4,13,21,39,0.324,22,68.2
59,Jimmy Butler,51,1867,27.2,9.3,2.5,23.1,4.8,14,0.582,87,0.868,133,222,50,100,59,136,73,195,182,431,0.337,138,67.4
60,Jose Calderon,24,292,15.3,24.8,1.2,25.2,2.9,12.7,0.052,22,1,6,8,0,3,4,12,10,20,14,35,0.353,26,92.3
61,Kentavious Caldwell-Pope,52,1759,19.3,8.5,1.9,12.4,2.5,8.6,0.197,88,0.833,63,100,14,52,23,68,54,130,91,250,0.372,89,73
62,Isaiah Canaan,33,572,15,9.7,1.9,9,1.1,7.9,0.189,35,0.903,13,24,14,22,3,10,7,20,24,52,0.273,31,71
63,Clint Capela,43,1000,19.6,11.6,1,6.3,11.2,24.4,0.321,113,0.5,193,263,30,82,1,3,0,0,31,85,0,270,55.9
64,DeMarre Carroll,52,1418,15.8,7.7,2.2,5.3,3.7,13.1,0.204,102,0.77,43,70,24,59,9,21,14,33,47,113,0.352,145,55.9
65,Vince Carter,50,1202,15.4,6.8,1.7,11.7,2.3,13.2,0.25,114,0.721,33,66,14,31,2,16,10,28,26,75,0.365,81,56.8
66,Michael Carter-Williams,26,579,20.7,15.9,1.8,18.3,3.3,19.8,0.286,67,0.763,27,41,28,66,10,35,6,17,44,118,0.209,53,50.9
67,Omri Casspi,22,397,16.3,11.9,1.3,10.3,5.9,20.6,0.179,23,0.571,32,53,10,32,0,2,0,1,10,35,0.379,38,65.8
68,Willie Cauley-Stein,50,649,19.5,10.4,2,6.9,8.4,16,0.283,89,0.603,82,115,33,71,4,20,6,15,43,106,0,111,57.7
69,Tyson Chandler,47,1298,11.4,19.2,1.2,3.3,12.8,33.7,0.544,126,0.734,145,204,8,22,0,1,0,1,8,24,0,219,61.6
70,Wilson Chandler,50,1544,22.3,10.5,1.4,10.6,5.6,18.7,0.206,120,0.732,118,173,58,140,23,65,32,75,113,280,0.338,153,52.9
71,Marquese Chriss,57,1070,19.7,12.2,2,5.1,6.5,14.4,0.261,174,0.631,89,157,17,51,7,18,11,30,35,99,0.297,116,69
72,Semaj Christon,40,590,14.1,14.3,1.2,21.5,2.6,8,0.146,50,0.478,24,45,7,24,9,28,6,20,22,72,0.19,53,71.7
73,Ian Clark,51,727,18.9,10.4,1.8,12.1,2,8.6,0.149,51,0.75,38,60,15,34,16,35,15,28,46,97,0.396,40,75
74,Jordan Clarkson,58,1587,23.1,12.7,2.2,12.6,2.6,9.1,0.157,110,0.782,109,175,61,143,34,78,40,88,135,309,0.332,108,68.5
75,Darren Collison,49,1516,19.7,12.4,1.7,22.4,1.5,6.5,0.223,92,0.856,80,126,34,81,20,43,59,133,113,257,0.421,61,73.8
76,Mike Conley,46,1503,26.1,12.1,2.1,34.6,1.8,10.7,0.35,78,0.861,78,130,37,87,25,62,42,115,104,264,0.41,122,71.3
77,Pat Connaughton,27,195,11,12.3,1,10.8,5,12.7,0.231,13,0.778,10,16,1,3,0,1,0,2,1,6,0.438,17,41.2
78,DeMarcus Cousins,55,1891,37.5,13.2,2,27.9,7.1,29.1,0.491,203,0.77,224,365,104,255,18,65,64,164,186,484,0.354,281,53.4
79,Robert Covington,50,1554,18.7,14.4,3,8,5.1,16.8,0.222,149,0.791,80,139,12,49,3,9,3,13,18,71,0.327,135,59.3
80,Allen Crabbe,56,1594,14.9,9,1,6.5,1,9.8,0.213,124,0.865,43,66,16,45,11,31,48,105,75,181,0.43,89,70.8
81,Jamal Crawford,56,1504,23.2,13,1.4,16.6,1,5.9,0.214,79,0.842,34,58,28,77,32,77,80,186,140,340,0.344,82,64.6
82,Jae Crowder,47,1527,16.6,8.3,1.6,9.9,2.2,15.9,0.254,108,0.866,71,88,7,22,5,16,28,77,40,115,0.405,103,65
83,Dante Cunningham,42,1056,11,7.2,1,3.9,3.5,14.2,0.059,69,0.571,35,61,9,23,2,6,10,26,21,55,0.388,136,64
84,Seth Curry,52,1468,18.9,10.9,2.2,16.3,1.7,9.3,0.121,98,0.8,42,67,34,60,19,41,38,94,91,195,0.416,76,73.7
85,Stephen Curry,55,1838,29,12.7,2.4,29.1,2.1,11.4,0.256,120,0.916,134,208,30,66,21,46,51,116,102,228,0.41,90,70
86,Troy Daniels,43,742,22.1,7.2,1,6.5,1.9,6.9,0.139,59,0.818,6,18,4,10,5,14,21,53,30,77,0.392,64,64.1
87,Anthony Davis,53,1927,32.5,9.9,1.7,11.7,6.5,28.3,0.428,125,0.801,192,281,122,248,95,204,104,252,321,704,0.306,285,55.4
88,Deyonta Davis,25,183,13.2,14.9,0.3,1.7,10.3,21.7,0.385,31,0.533,16,26,3,5,0,1,1,7,4,13,0,32,40.6
89,Ed Davis,45,776,11.8,17.3,1,4.9,13.1,20.8,0.54,134,0.627,58,100,15,38,1,1,0,0,16,39,0,120,55.8
90,Dewayne Dedmon,50,865,12.6,14.1,1.6,4.7,11,31.2,0.365,121,0.708,87,123,16,38,4,10,4,7,24,55,0,138,49.3
91,Sam Dekker,58,1143,15.9,8.7,1.4,8.1,7.8,14,0.154,67,0.589,102,154,11,35,2,5,5,9,18,49,0.323,140,61.4
92,Malcolm Delaney,56,991,18.9,17.8,1.5,22.9,0.9,10.1,0.233,88,0.811,18,40,7,18,7,23,68,147,82,188,0.258,46,82.6
93,Matthew Dellavedova,50,1325,15.9,19.5,1.6,27.3,1.5,7.2,0.206,102,0.803,23,55,37,88,16,39,11,28,64,155,0.363,86,66.3
94,Luol Deng,54,1455,14.2,8.7,1.6,7,4.4,17.5,0.152,59,0.73,72,115,14,40,9,34,15,63,38,137,0.315,154,68.2
95,DeMar DeRozan,50,1775,34.2,8.6,1.6,19.3,3.1,13.9,0.407,95,0.845,102,148,116,250,129,268,125,318,370,836,0.253,101,67.3
96,Boris Diaw,48,872,15.6,22.1,0.8,18.4,3.6,9.1,0.112,59,0.792,54,78,13,32,8,16,5,30,26,78,0.263,103,61.2
97,Gorgui Dieng,57,1825,14.5,12.4,1.6,8.6,8.1,20.7,0.22,183,0.781,100,159,43,88,28,64,63,137,134,289,0.379,345,60.6
98,Spencer Dinwiddie,33,705,14.4,16,1.2,19.8,1.8,11.1,0.423,66,0.845,27,50,13,34,5,19,10,18,28,71,0.417,55,61.8
99,Toney Douglas,14,241,18.2,15.5,2.4,21,2.3,17,0.274,29,0.85,5,11,4,9,3,9,9,17,16,35,0.222,19,57.9
100,Goran Dragic,49,1680,26.6,15.3,1.5,31,2.4,10,0.331,137,0.785,125,201,63,133,57,131,36,92,156,356,0.428,140,57.9
101,Andre Drummond,56,1705,23.5,13,2.9,5.6,14.6,36.2,0.366,164,0.439,225,330,107,289,21,43,0,4,128,336,0.333,264,61.7
102,Jared Dudley,40,828,13.7,16,1.4,11.2,2.6,15.5,0.197,97,0.634,27,38,3,8,6,12,14,32,23,52,0.432,112,58
103,Mike Dunleavy,41,658,14,11.9,0.8,8.1,2.1,13,0.174,54,0.767,23,35,0,7,2,5,6,17,8,29,0.389,54,51.9
104,Kris Dunn,53,882,14.9,23.9,2.7,21.1,2.1,13.3,0.245,110,0.58,24,49,12,30,5,17,20,59,37,106,0.265,75,61.3
105,Kevin Durant,56,1912,27.8,10.4,1.6,22.4,2.1,22.9,0.374,107,0.876,203,255,54,113,68,154,81,144,203,411,0.374,245,58.8
106,Wayne Ellington,37,970,17.8,4.6,1.3,7.9,1.2,7.3,0.096,47,0.912,16,20,4,9,2,12,42,84,48,105,0.355,74,63.5
107,Monta Ellis,49,1331,16,18.9,1.7,17.8,0.7,10.7,0.273,99,0.787,52,79,30,58,12,33,30,89,72,180,0.304,74,68.9
108,Joel Embiid,31,786,36.2,17.9,1.7,16.4,8.5,25.6,0.569,112,0.783,89,140,30,81,27,73,18,37,75,191,0.367,187,43.9
109,James Ennis,44,1118,13.2,14.7,1.6,6.1,5.7,13.4,0.347,128,0.786,60,98,6,23,2,3,4,14,12,40,0.413,94,66
110,Tyler Ennis,31,196,19.5,26.9,1.5,24.5,2.3,8.5,0.047,29,0.667,14,21,5,19,0,3,0,5,5,27,0.375,20,80
111,Tyreke Evans,26,474,27.3,13.4,2.4,31.8,1.3,17.9,0.256,41,0.776,54,101,6,28,1,3,9,25,16,56,0.3,47,66
112,Dante Exum,42,779,17.7,15.3,0.9,14.1,2.3,8.7,0.159,97,0.838,58,101,9,18,3,8,4,9,16,35,0.271,59,62.7
113,Kenneth Faried,47,1048,17.3,10.9,1.6,5.9,15.6,24.3,0.54,101,0.689,135,210,35,76,4,11,1,8,40,95,0,142,62.7
114,Derrick Favors,40,938,20.7,11.4,2.1,7.5,8.6,20.8,0.296,84,0.635,66,118,30,60,25,57,27,72,82,189,0.25,164,53.7
115,Kay Felder,35,342,22.4,13.2,1.9,20.7,1,10,0.341,35,0.711,22,43,1,17,7,18,17,34,25,69,0.35,16,68.8
116,Cristiano Felicio,48,753,12.5,10.1,1.2,5.7,14,19.6,0.478,83,0.662,73,112,7,19,2,6,6,21,15,46,0,168,60.1
117,Raymond Felton,54,1233,17.1,12.9,1.8,17.4,2.6,11.8,0.104,99,0.78,69,110,20,55,8,24,33,89,61,168,0.371,87,71.3
118,Yogi Ferrell,20,481,19.7,15.4,1.9,21.5,1.8,8.4,0.247,35,0.821,18,31,2,7,7,17,8,25,17,49,0.4,29,58.6
119,Dorian Finney-Smith,55,1143,11.1,12.7,1.6,6.1,3.2,11.9,0.221,93,0.766,34,51,6,15,0,5,4,13,10,33,0.313,108,61.1
120,Evan Fournier,45,1488,23.7,12.8,1.4,17.1,2.2,8.8,0.29,126,0.82,100,166,38,96,22,45,28,76,88,217,0.343,94,62.8
121,Randy Foye,43,813,15.3,20.6,1,16.3,1.1,12.3,0.172,61,0.811,22,41,8,23,1,4,4,17,13,44,0.338,71,59.2
122,Tim Frazier,41,1028,18,18.9,1.8,33.9,2.1,9.9,0.336,95,0.798,56,90,13,49,5,21,22,52,40,122,0.349,77,71.4
123,Channing Frye,48,890,20,8.1,1,5.5,3.6,18.3,0.146,90,0.843,26,46,13,32,9,20,11,23,33,75,0.408,174,59.8
124,Danilo Gallinari,44,1504,19.3,8.9,0.9,9.4,1.8,14.4,0.521,67,0.887,69,108,15,37,16,54,41,102,72,193,0.381,113,66.4
125,Langston Galloway,55,1120,19.5,5.7,1.7,8.9,1.9,9.6,0.118,76,0.769,20,41,4,22,8,22,31,88,43,132,0.377,71,60.6
126,Marc Gasol,55,1891,26.9,10.6,1.4,24,2.6,18.3,0.308,133,0.846,76,112,123,235,75,172,62,167,260,574,0.385,298,51.7
127,Pau Gasol,39,1029,20.1,10.7,0.8,16.1,6.7,26.8,0.277,66,0.644,50,80,43,88,14,41,59,113,116,242,0.465,191,56.5
128,Rudy Gay,30,1013,25.7,12.8,2.3,14.2,4,17.8,0.312,79,0.855,71,103,40,93,24,62,24,71,88,226,0.372,97,48.5
129,Paul George,50,1786,28.1,12.7,2.2,15.5,2.7,16.4,0.279,131,0.914,71,115,40,93,45,110,113,243,198,446,0.383,148,66.9
130,Jonathan Gibson,17,231,26.4,16.3,1.8,18.7,0.5,11.2,0.305,21,0.724,7,17,2,6,5,9,6,18,13,33,0.333,17,82.4
131,Taj Gibson,55,1502,19.1,11.7,0.9,6.6,8.5,19.3,0.225,123,0.714,149,217,66,150,30,74,24,68,120,292,0.167,210,53.3
132,Manu Ginobili,49,904,20.9,15.5,3,19.5,2.3,11.6,0.265,82,0.821,33,65,11,43,10,31,2,19,23,93,0.406,44,70.5
133,Rudy Gobert,57,1910,16.1,15.9,1.1,4.9,13.7,29.2,0.831,172,0.662,236,330,15,58,2,3,0,1,17,62,0,447,48.5
134,Aaron Gordon,56,1548,19.6,9.1,1.3,11.2,5.1,13.4,0.244,117,0.65,116,169,19,58,23,56,26,87,68,201,0.292,134,59
135,Eric Gordon,52,1586,23.6,10.4,0.9,14.2,1.2,8.5,0.159,105,0.838,82,131,26,77,2,11,14,39,42,127,0.385,99,65.7
136,Marcin Gortat,55,1898,14.4,13.6,0.8,6.6,10.7,26.3,0.226,163,0.682,186,267,67,134,30,67,2,9,99,210,0,389,59.1
137,Treveon Graham,18,106,10.2,8.2,0.9,6.6,2,12.1,0.556,14,0.7,1,5,0,2,1,1,0,2,1,5,0.625,8,87.5
138,Jerami Grant,56,1189,12.2,9.1,1,4,2.4,12,0.461,111,0.613,64,100,15,38,0,10,7,24,22,72,0.381,144,52.8
139,Jerian Grant,46,757,16.3,13.1,2.2,14.1,1.6,8.7,0.268,72,0.915,24,41,6,22,13,28,13,34,32,84,0.348,65,66.2
140,Danny Green,48,1282,13.2,13.9,2,9.3,1.6,12,0.057,87,0.833,19,31,11,26,2,13,8,18,21,57,0.405,134,63.4
141,Draymond Green,53,1744,15.5,19.4,3,27.9,4.9,21.3,0.325,157,0.674,117,177,11,61,3,12,3,12,17,85,0.319,309,48.5
142,Gerald Green,36,410,22.7,7.7,0.9,11.2,4.1,13.7,0.144,39,0.808,12,22,6,18,13,31,8,22,27,71,0.366,37,75.7
143,JaMychal Green,56,1599,14.2,14.3,1.3,6.8,8.6,20.9,0.344,198,0.798,99,165,9,29,8,22,27,53,44,104,0.368,153,59.5
144,Jeff Green,56,1301,20.3,11,1.1,7.7,2.6,12,0.3,80,0.864,58,104,32,78,22,52,23,64,77,194,0.28,152,70.4
