,Name,GP,MP,USG%,TOV%,STL%,AST%,ORB%,DRB%,FTR,PF,FTM,FTA,RIM FGM,RIM FGA,3-10 FGM,3-10 FGA,10-16 FGM,10-16 FGA,16-23 FGM,16-23 FGA,3PM,3PA
31,Aron Baynes,54,835,13.8,14.3,0.8,3.0,8.7,20.4,0.366,121,61,70,49.0,92.0,25.0,56.0,10.0,22.0,8.0,21.0,0,0
32,Kent Bazemore,54,1482,20.4,13.6,2.4,14.6,2.3,10.3,0.227,119,88,123,79.0,142.0,15.0,59.0,11.0,36.0,46.0,110.0,65,196
33,Bradley Beal,51,1757,26.4,9.9,1.5,17.1,2.0,7.4,0.268,111,184,227,121.0,199.0,35.0,83.0,29.0,64.0,65.0,126.0,148,368
34,Michael Beasley,47,792,24.4,13.5,1.5,10.3,5.0,19.0,0.282,75,66,93,70.0,101.0,41.0,81.0,23.0,51.0,26.0,60.0,16,37
35,Marco Belinelli,51,1257,19.0,9.3,1.3,12.1,0.9,10.1,0.235,69,92,104,36.0,54.0,10.0,25.0,10.0,24.0,54.0,124.0,77,205
36,DeAndre' Bembry,26,269,14.7,11.1,0.9,11.2,3.3,13.3,0.189,15,6,14,28.0,44.0,1.0,7.0,3.0,9.0,3.0,3.0,0,11
37,Dragan Bender,38,481,13.5,17.5,0.9,5.0,3.6,15.7,0.065,60,3,8,15.0,24.0,2.0,6.0,1.0,2.0,2.0,11.0,26,81
38,Anthony Bennett,23,264,19.4,10.0,0.9,7.1,10.1,21.0,0.391,18,26,36,23.0,34.0,2.0,8.0,0.0,1.0,0.0,1.0,13,48
39,Davis Bertans,48,556,15.3,10.6,1.3,8.8,3.2,10.3,0.194,55,24,30,18.0,26.0,2.0,6.0,0.0,1.0,4.0,9.0,44,113
40,Patrick Beverley,44,1343,14.1,14.2,2.3,20.2,4.7,15.8,0.118,143,35,43,43.0,71.0,27.0,63.0,8.0,21.0,3.0,14.0,73,187
41,Bismack Biyombo,57,1327,13.1,17.8,0.7,6.2,9.0,25.5,0.707,136,86,174,94.0,140.0,24.0,74.0,9.0,22.0,1.0,8.0,0,0
42,Nemanja Bjelica,55,947,16.5,14.2,1.8,9.4,4.5,17.9,0.179,124,37,50,41.0,67.0,24.0,49.0,3.0,8.0,4.0,9.0,46,148
43,Tarik Black,46,749,16.4,14.3,1.2,6.5,14.7,21.7,0.407,128,61,85,87.0,139.0,16.0,57.0,3.0,7.0,0.0,4.0,1,2
44,Eric Bledsoe,56,1861,28.2,14.7,2.0,31.5,2.9,14.0,0.442,146,334,393,154.0,252.0,61.0,127.0,37.0,92.0,53.0,154.0,88,265
45,Bojan Bogdanovic,55,1482,22.4,11.8,0.8,10.1,1.7,12.3,0.273,99,146,167,119.0,195.0,23.0,56.0,13.0,45.0,15.0,38.0,99,277
46,Andrew Bogut,26,582,10.5,33.4,1.2,12.3,10.5,34.3,0.136,84,3,11,21.0,37.0,16.0,38.0,1.0,5.0,0.0,1.0,0,1
47,Devin Booker,56,1933,27.9,12.7,1.2,15.6,1.9,7.2,0.286,178,235,284,126.0,212.0,51.0,126.0,50.0,149.0,90.0,219.0,105,286
48,Trevor Booker,51,1335,17.8,17.0,2.3,13.6,8.6,25.7,0.213,111,60,90,127.0,193.0,65.0,124.0,8.0,20.0,8.0,29.0,15,56
49,Avery Bradley,36,1257,22.5,10.3,1.9,11.3,3.6,18.6,0.117,98,48,63,89.0,140.0,16.0,45.0,24.0,42.0,51.0,126.0,76,186
50,Corey Brewer,58,923,13.1,12.7,2.0,9.0,2.5,11.2,0.194,104,32,44,52.0,87.0,15.0,38.0,2.0,5.0,3.0,3.0,22,94
51,Malcolm Brogdon,55,1406,18.1,15.2,2.3,23.9,2.7,9.3,0.215,101,80,94,94.0,172.0,19.0,58.0,14.0,42.0,12.0,39.0,53,127
52,Aaron Brooks,46,660,19.6,17.3,1.7,22.5,2.4,6.4,0.128,65,23,29,17.0,40.0,15.0,34.0,17.0,27.0,9.0,24.0,34,101
53,Anthony Brown,11,159,15.6,10.7,1.5,7.7,5.3,16.9,0.0,15,0,0,4.0,7.0,2.0,5.0,1.0,3.0,4.0,8.0,7,27
54,Jaylen Brown,53,821,18.0,11.2,1.3,6.1,3.8,14.8,0.337,91,62,86,65.0,109.0,14.0,39.0,5.0,19.0,3.0,15.0,21,69
55,Nicolas Brussino,36,246,14.1,15.1,2.1,15.4,4.5,16.5,0.155,21,6,9,3.0,4.0,2.0,2.0,1.0,2.0,5.0,11.0,12,39
56,Reggie Bullock,14,217,15.0,8.2,1.4,8.0,3.0,11.5,0.062,15,2,4,13.0,16.0,1.0,5.0,2.0,5.0,2.0,7.0,10,32
57,Trey Burke,51,643,19.6,14.7,0.8,21.0,1.3,6.6,0.107,49,18,25,18.0,35.0,9.0,20.0,23.0,44.0,30.0,73.0,25,60
58,Alec Burks,21,319,22.7,11.7,2.0,6.9,1.9,11.9,0.376,29,30,44,15.0,33.0,8.0,14.0,9.0,12.0,4.0,13.0,12,37
