,Name,GP,MP,USG%,TOV%,STL%,AST%,ORB%,DRB%,FTR,PF,FTM,FTA,RIM FGM,RIM FGA,3-10 FGM,3-10 FGA,10-16 FGM,10-16 FGA,16-23 FGM,16-23 FGA,3PM,3PA
158,Gordon Hayward,50,1732,27.6,9.2,1.5,18.3,2.1,16.1,0.427,81,289,332,120.0,174.0,35.0,95.0,45.0,90.0,54.0,146.0,99,257
159,Gerald Henderson,51,1226,17.6,9.7,1.2,11.2,1.8,9.7,0.288,88,97,114,58.0,86.0,15.0,43.0,31.0,76.0,30.0,73.0,41,111
160,John Henson,46,930,16.4,14.2,1.4,8.0,8.1,20.9,0.401,121,70,99,77.0,121.0,39.0,89.0,4.0,14.0,6.0,22.0,0,1
161,Juan Hernangomez,40,512,13.5,8.6,1.6,5.4,6.7,18.7,0.364,43,33,47,28.0,47.0,3.0,14.0,0.0,2.0,1.0,5.0,26,61
162,Willy Hernangomez,49,769,18.7,17.0,1.4,10.2,13.2,27.3,0.283,80,51,70,100.0,155.0,19.0,47.0,9.0,21.0,3.0,13.0,3,11
163,Mario Hezonja,41,467,20.7,17.0,1.6,9.8,2.3,14.7,0.098,39,13,17,18.0,30.0,2.0,10.0,2.0,5.0,15.0,48.0,25,79
164,Roy Hibbert,42,671,13.8,14.9,0.6,4.5,8.5,15.8,0.521,97,61,75,39.0,56.0,19.0,45.0,9.0,17.0,11.0,26.0,0,0
165,Buddy Hield,57,1161,20.4,9.0,0.8,10.4,1.7,13.4,0.07,81,29,33,60.0,116.0,7.0,32.0,8.0,29.0,21.0,53.0,89,241
166,Nene Hilario,48,821,19.0,15.3,2.2,8.1,8.0,17.1,0.558,119,82,139,105.0,145.0,16.0,35.0,11.0,26.0,17.0,36.0,3,7
167,George Hill,32,1011,24.1,9.1,1.6,22.4,2.1,10.3,0.324,80,106,134,59.0,87.0,23.0,46.0,30.0,63.0,21.0,56.0,63,160
168,Solomon Hill,55,1565,11.2,13.2,1.5,8.4,1.9,11.7,0.271,126,67,83,47.0,86.0,6.0,22.0,6.0,17.0,1.0,10.0,61,171
169,Darrun Hilliard,27,290,19.5,15.8,1.2,11.1,0.8,9.8,0.25,31,17,24,7.0,12.0,4.0,14.0,3.0,8.0,8.0,26.0,9,36
170,Jrue Holiday,42,1359,24.6,17.1,2.4,38.4,2.5,10.7,0.222,105,87,126,103.0,172.0,42.0,93.0,29.0,55.0,26.0,79.0,66,168
171,Justin Holiday,57,1120,16.6,11.1,2.2,8.5,1.9,13.6,0.186,86,55,66,42.0,70.0,6.0,16.0,10.0,23.0,21.0,54.0,69,192
172,Rondae Hollis-Jefferson,52,1134,17.9,16.8,2.1,14.2,4.2,20.5,0.523,118,128,168,81.0,145.0,22.0,61.0,14.0,43.0,8.0,25.0,10,47
173,Richaun Holmes,31,494,18.3,13.0,1.6,8.4,10.5,19.0,0.314,61,31,50,56.0,76.0,10.0,33.0,3.0,12.0,6.0,16.0,8,22
174,Rodney Hood,40,1145,23.1,8.3,1.1,11.1,1.1,13.0,0.159,91,58,77,39.0,63.0,32.0,78.0,25.0,60.0,25.0,58.0,82,224
175,Al Horford,45,1481,20.6,11.3,1.1,23.7,4.6,17.9,0.155,98,71,88,80.0,114.0,45.0,105.0,24.0,67.0,36.0,72.0,68,194
176,Dwight Howard,51,1504,18.8,16.4,1.5,6.8,16.2,32.1,0.652,147,151,273,246.0,330.0,18.0,61.0,3.0,11.0,3.0,15.0,0,2
177,Marcelo Huertas,23,237,17.0,20.1,2.1,31.4,0.9,10.4,0.25,16,9,17,6.0,9.0,6.0,19.0,9.0,19.0,0.0,2.0,4,19
178,Kris Humphries,44,522,17.7,11.4,1.0,6.4,9.7,21.9,0.388,56,49,62,36.0,60.0,1.0,12.0,8.0,24.0,11.0,24.0,15,41
179,Serge Ibaka,56,1710,21.0,8.2,1.0,5.9,6.3,18.6,0.129,139,77,91,86.0,117.0,65.0,131.0,51.0,114.0,54.0,117.0,83,214
180,Andre Iguodala,54,1381,10.3,11.2,1.7,16.4,3.2,12.8,0.205,65,38,55,70.0,94.0,3.0,11.0,0.0,7.0,16.0,33.0,44,122
181,Ersan Ilyasova,56,1509,23.3,10.1,1.2,11.3,5.3,18.8,0.214,138,109,142,100.0,151.0,24.0,65.0,16.0,49.0,38.0,80.0,110,310
182,Joe Ingles,57,1253,13.7,17.5,2.8,16.3,1.0,13.2,0.168,110,38,47,38.0,48.0,8.0,21.0,0.0,8.0,8.0,25.0,76,173
183,Brandon Ingram,58,1604,15.6,12.6,0.8,10.0,2.7,13.7,0.331,109,97,148,59.0,109.0,18.0,70.0,22.0,63.0,22.0,70.0,41,135
184,Kyrie Irving,49,1724,30.2,11.1,1.8,29.7,2.4,7.3,0.221,106,192,212,153.0,250.0,30.0,107.0,70.0,151.0,66.0,137.0,118,303
185,Reggie Jackson,36,1023,26.6,14.0,1.4,31.3,1.6,7.2,0.224,96,91,107,,,,,,,,,49,135
186,LeBron James,52,1952,29.5,16.9,1.9,41.6,3.6,18.7,0.385,90,248,360,286.0,368.0,40.0,110.0,48.0,108.0,31.0,99.0,91,234
187,Al Jefferson,57,832,26.0,5.8,1.0,11.2,9.2,23.4,0.188,110,61,79,79.0,122.0,86.0,160.0,27.0,83.0,15.0,45.0,0,1
188,Richard Jefferson,54,1052,12.2,11.7,0.7,6.6,2.3,10.8,0.319,100,53,72,49.0,62.0,5.0,21.0,3.0,7.0,2.0,14.0,35,121
189,Brandon Jennings,56,1402,17.8,18.1,1.9,28.2,1.5,9.7,0.312,78,98,130,50.0,94.0,11.0,41.0,16.0,36.0,17.0,49.0,67,196
190,Jonas Jerebko,56,930,11.6,14.1,1.3,7.2,5.3,17.8,0.106,95,17,21,31.0,44.0,13.0,32.0,2.0,8.0,8.0,14.0,34,98
191,Amir Johnson,56,1104,13.7,14.4,1.4,12.9,9.1,16.9,0.265,146,46,69,93.0,130.0,31.0,73.0,0.0,1.0,0.0,2.0,18,44
192,James Johnson,52,1381,21.5,17.5,1.7,19.8,3.6,16.9,0.281,137,98,138,112.0,182.0,30.0,68.0,21.0,35.0,16.0,35.0,60,170
193,Joe Johnson,56,1260,18.1,10.1,0.8,12.4,2.2,12.9,0.123,62,41,51,22.0,29.0,46.0,96.0,20.0,53.0,24.0,65.0,70,170
194,Stanley Johnson,53,887,14.2,16.3,1.9,10.8,2.9,12.3,0.183,84,26,40,18.0,29.0,11.0,39.0,18.0,33.0,12.0,31.0,26,86
195,Tyler Johnson,49,1506,20.6,7.4,2.0,16.4,2.5,12.8,0.309,122,134,176,82.0,141.0,35.0,81.0,15.0,50.0,50.0,125.0,60,172
196,Wesley Johnson,49,646,12.7,8.1,2.1,4.5,4.2,21.8,0.105,71,11,17,15.0,26.0,4.0,6.0,3.0,6.0,13.0,31.0,26,92
197,Nikola Jokic,49,1319,23.1,14.1,1.4,26.9,12.8,24.3,0.274,150,124,152,134.0,203.0,95.0,156.0,33.0,56.0,28.0,56.0,31,85
198,James Jones,35,239,13.2,9.7,0.6,4.2,0.9,9.0,0.237,22,9,14,2.0,3.0,0.0,1.0,1.0,1.0,3.0,10.0,25,44
199,Terrence Jones,51,1264,21.4,7.9,1.5,7.5,5.4,20.0,0.348,67,103,170,132.0,195.0,55.0,149.0,10.0,27.0,15.0,41.0,19,75
200,Tyus Jones,35,398,14.0,16.7,2.9,27.5,2.0,7.4,0.28,28,21,26,8.0,18.0,6.0,13.0,5.0,9.0,3.0,10.0,16,43
201,DeAndre Jordan,56,1751,15.1,14.6,0.9,5.6,12.8,35.2,0.739,148,142,283,244.0,332.0,22.0,50.0,0.0,1.0,,,0,1
202,Cory Joseph,55,1243,18.4,11.1,1.6,18.1,2.8,10.5,0.218,92,72,91,71.0,117.0,35.0,87.0,15.0,49.0,36.0,94.0,28,71
203,Frank Kaminsky,54,1351,21.4,8.3,1.5,13.4,3.5,16.2,0.187,92,77,103,71.0,126.0,53.0,125.0,11.0,37.0,7.0,22.0,72,234
204,Enes Kanter,47,1015,26.3,12.1,1.0,8.6,13.3,20.9,0.382,103,142,180,178.0,268.0,52.0,93.0,12.0,38.0,18.0,41.0,5,31
205,Michael Kidd-Gilchrist,55,1634,14.5,7.9,1.4,7.0,7.3,19.9,0.317,126,104,136,127.0,215.0,10.0,52.0,15.0,39.0,39.0,105.0,1,8
206,Sean Kilpatrick,55,1429,23.9,15.2,1.3,14.7,1.3,15.0,0.31,104,155,185,94.0,165.0,31.0,88.0,13.0,41.0,23.0,55.0,87,248
207,Brandon Knight,54,1140,25.2,12.9,1.1,18.1,2.2,9.6,0.293,87,132,154,72.0,129.0,27.0,83.0,24.0,62.0,41.0,111.0,45,139
208,Kyle Korver,51,1377,14.8,12.5,1.1,9.8,0.6,11.2,0.09,79,31,35,11.0,17.0,3.0,8.0,7.0,21.0,44.0,85.0,117,260
209,Kosta Koufos,57,1091,14.3,14.2,1.5,5.3,9.6,23.2,0.187,132,28,51,89.0,126.0,64.0,131.0,6.0,15.0,0.0,1.0,0,1
210,Mindaugas Kuzminskas,47,686,19.0,11.2,1.8,10.0,5.0,8.9,0.172,55,34,43,54.0,89.0,12.0,33.0,1.0,4.0,0.0,4.0,38,120
211,Jeremy Lamb,36,617,24.4,6.5,1.0,11.2,3.2,24.3,0.297,54,67,83,41.0,61.0,17.0,40.0,22.0,42.0,19.0,46.0,22,85
212,Nicolas Laprovittola,18,174,18.2,27.2,1.2,22.8,0.7,5.7,0.191,19,9,9,7.0,13.0,1.0,4.0,1.0,1.0,1.0,2.0,10,27
213,Joffrey Lauvergne,50,739,17.8,12.6,1.1,10.5,7.7,19.7,0.238,71,37,58,54.0,88.0,18.0,47.0,5.0,8.0,5.0,17.0,27,78
214,Zach LaVine,47,1749,21.7,9.9,1.2,12.9,1.2,9.6,0.197,104,117,140,123.0,193.0,18.0,43.0,12.0,35.0,53.0,129.0,120,310
215,Ty Lawson,51,1253,18.9,17.6,2.3,28.5,3.1,9.4,0.35,75,106,131,67.0,107.0,20.0,55.0,23.0,43.0,26.0,75.0,27,93
216,Jake Layman,24,149,19.6,7.5,2.0,6.8,1.5,9.0,0.232,14,9,13,4.0,5.0,2.0,5.0,1.0,1.0,2.0,7.0,9,38
217,Courtney Lee,52,1630,13.5,7.6,1.4,9.4,2.6,8.5,0.11,96,42,50,40.0,66.0,22.0,55.0,31.0,63.0,37.0,87.0,77,184
218,David Lee,55,1023,17.0,14.5,1.1,13.5,11.2,22.5,0.287,89,59,84,121.0,172.0,32.0,73.0,14.0,25.0,8.0,23.0,0,0
219,Alex Len,54,1061,17.4,16.4,0.9,4.3,10.4,26.1,0.436,165,98,134,103.0,161.0,30.0,77.0,8.0,26.0,12.0,39.0,1,4
220,Kawhi Leonard,51,1710,31.0,9.0,2.7,17.6,4.1,15.5,0.418,78,338,376,106.0,164.0,61.0,120.0,75.0,162.0,94.0,195.0,103,260
221,Meyers Leonard,48,784,16.7,8.7,0.4,7.8,2.6,19.3,0.108,110,25,28,18.0,27.0,9.0,24.0,4.0,20.0,12.0,39.0,51,150
222,Jon Leuer,51,1379,17.0,8.7,0.8,9.6,5.4,18.2,0.192,106,77,85,91.0,112.0,28.0,64.0,43.0,77.0,25.0,67.0,40,123
223,Caris LeVert,32,642,16.2,14.4,2.2,14.1,1.8,12.8,0.262,47,36,49,31.0,45.0,4.0,20.0,10.0,16.0,3.0,7.0,30,99
224,DeAndre Liggins,45,645,10.9,19.3,3.0,9.3,2.1,10.3,0.267,65,21,31,25.0,47.0,1.0,10.0,0.0,4.0,3.0,11.0,17,44
225,Damian Lillard,51,1832,30.6,10.3,1.0,28.0,2.1,13.2,0.369,115,328,364,153.0,255.0,42.0,124.0,31.0,80.0,66.0,144.0,129,372
226,Jeremy Lin,12,300,25.6,17.8,2.5,40.2,0.7,12.9,0.315,12,29,41,21.0,36.0,9.0,18.0,7.0,13.0,8.0,15.0,16,48
227,Shaun Livingston,51,884,13.2,15.2,1.3,12.9,2.5,9.3,0.189,81,24,40,33.0,43.0,21.0,28.0,59.0,115.0,7.0,25.0,0,1
228,Kevon Looney,43,401,12.5,11.2,1.5,8.0,10.6,18.9,0.36,62,21,32,47.0,63.0,2.0,10.0,0.0,2.0,0.0,6.0,2,8
229,Brook Lopez,51,1509,29.3,11.7,0.9,16.0,5.7,12.7,0.325,131,217,260,122.0,184.0,124.0,252.0,33.0,80.0,7.0,22.0,90,262
230,Robin Lopez,57,1594,16.6,9.7,0.3,5.4,13.1,13.7,0.143,107,50,74,84.0,162.0,85.0,171.0,19.0,44.0,60.0,127.0,0,1
231,Kevin Love,46,1466,26.6,11.0,1.4,9.6,8.9,28.9,0.366,82,218,249,76.0,136.0,40.0,100.0,33.0,70.0,19.0,54.0,119,310
232,Kyle Lowry,56,2111,24.8,13.4,1.9,29.1,2.5,11.9,0.395,163,284,344,108.0,162.0,61.0,150.0,24.0,50.0,25.0,64.0,185,444
233,Timothe Luwawu-Cabarrot,43,493,16.8,17.9,1.0,9.8,2.2,11.2,0.417,68,42,55,34.0,61.0,3.0,19.0,0.0,1.0,0.0,3.0,14,45
234,Trey Lyles,57,1043,22.0,11.9,1.3,10.3,5.0,18.0,0.178,82,51,71,41.0,69.0,26.0,70.0,10.0,33.0,13.0,38.0,61,189
235,Shelvin Mack,46,983,19.8,19.6,1.9,21.5,1.9,9.7,0.172,79,35,53,44.0,74.0,25.0,56.0,23.0,47.0,13.0,32.0,31,98
236,Thon Maker,30,218,19.2,8.6,1.4,2.8,8.1,18.0,0.338,35,15,25,16.0,23.0,1.0,8.0,0.0,4.0,4.0,7.0,16,32
237,Boban Marjanovic,23,159,24.4,8.1,0.6,5.1,20.5,32.1,0.397,11,21,27,15.0,23.0,15.0,37.0,2.0,8.0,,,0,0
238,Jarell Martin,40,538,16.1,14.1,1.4,2.0,7.6,25.6,0.333,90,38,48,31.0,73.0,3.0,14.0,3.0,6.0,8.0,25.0,9,26
239,Wesley Matthews,53,1874,20.5,8.5,1.6,11.7,0.7,11.8,0.212,118,117,144,48.0,82.0,18.0,55.0,34.0,75.0,27.0,82.0,144,378
240,Luc Mbah a Moute,54,1216,11.7,10.6,2.3,2.5,3.6,8.2,0.248,90,46,64,71.0,115.0,2.0,14.0,1.0,3.0,21.0,46.0,31,80
241,James Michael McAdoo,29,265,13.6,14.3,1.3,5.4,6.3,12.0,0.246,26,8,16,27.0,37.0,5.0,12.0,3.0,5.0,2.0,8.0,0,3
242,Patrick McCaw,46,571,12.6,13.2,1.3,9.6,1.9,6.6,0.131,39,11,18,16.0,24.0,6.0,12.0,3.0,10.0,4.0,11.0,28,80
243,Sheldon McClellan,25,248,13.5,3.9,1.6,8.0,1.9,11.6,0.328,16,18,21,6.0,13.0,3.0,6.0,6.0,9.0,3.0,10.0,6,26
244,C.J. McCollum,56,1934,28.1,10.4,1.5,18.6,2.6,9.3,0.207,159,189,211,94.0,163.0,70.0,137.0,73.0,140.0,109.0,229.0,138,336
245,T.J. McConnell,55,1369,14.1,22.5,2.9,37.6,1.8,11.5,0.152,94,38,49,71.0,112.0,35.0,79.0,21.0,59.0,12.0,31.0,7,33
246,K.J. McDaniels,29,212,16.6,12.1,1.4,2.7,3.1,12.5,0.147,24,9,10,16.0,25.0,5.0,12.0,1.0,3.0,0.0,1.0,9,27
247,Doug McDermott,44,1078,17.5,7.4,0.5,6.6,1.4,11.8,0.18,57,59,67,44.0,74.0,20.0,45.0,16.0,39.0,27.0,60.0,56,149
248,JaVale McGee,51,487,23.8,11.5,1.2,4.0,13.1,20.8,0.327,75,32,68,,,,,,,,,0,3
249,Rodney McGruder,53,1390,12.0,9.6,1.4,8.2,5.6,8.8,0.165,99,34,52,45.0,67.0,17.0,54.0,5.0,20.0,7.0,24.0,50,149
250,Ben McLemore,42,754,18.2,11.9,1.5,7.3,2.0,7.9,0.16,58,31,40,33.0,47.0,6.0,23.0,4.0,19.0,20.0,53.0,40,108
251,Jordan McRae,36,381,20.5,7.9,1.0,7.4,1.8,9.6,0.228,30,27,34,18.0,39.0,6.0,17.0,2.0,18.0,13.0,20.0,17,50
252,Josh McRoberts,22,381,16.9,15.9,1.3,19.1,6.6,14.8,0.076,31,6,9,20.0,34.0,1.0,17.0,3.0,17.0,7.0,18.0,13,31
253,Jodie Meeks,24,520,18.0,11.4,2.7,10.9,0.6,11.0,0.25,29,38,42,13.0,26.0,6.0,13.0,6.0,18.0,9.0,22.0,36,89
254,Salah Mejri,50,667,9.4,22.7,2.0,2.3,11.9,29.2,0.391,111,22,34,45.0,60.0,6.0,7.0,4.0,5.0,1.0,9.0,0,2
255,Jordan Mickey,16,116,15.6,17.3,0.9,6.3,11.6,15.5,0.345,9,6,10,11.0,19.0,1.0,5.0,2.0,4.0,0.0,1.0,0,1
256,C.J. Miles,51,1177,18.6,5.7,1.3,3.8,1.6,12.5,0.148,106,56,64,28.0,47.0,16.0,36.0,8.0,19.0,22.0,59.0,111,266
257,Patty Mills,55,1170,20.2,13.6,2.0,23.6,1.8,7.7,0.131,77,48,56,41.0,68.0,4.0,13.0,7.0,16.0,42.0,104.0,99,229
258,Paul Millsap,53,1810,24.2,11.5,2.1,18.0,5.6,19.6,0.384,141,222,291,116.0,191.0,62.0,159.0,65.0,139.0,25.0,72.0,64,196
259,Nikola Mirotic,48,1078,19.4,11.0,1.6,6.0,3.5,21.6,0.212,84,64,83,49.0,81.0,13.0,26.0,9.0,24.0,8.0,26.0,70,234
260,Greg Monroe,54,1178,23.9,13.6,2.9,16.2,10.5,24.7,0.361,102,122,168,167.0,269.0,56.0,138.0,13.0,24.0,15.0,32.0,0,2
261,E'Twaun Moore,51,1259,18.0,9.6,1.4,14.0,2.2,7.2,0.102,98,34,45,49.0,79.0,48.0,94.0,22.0,65.0,26.0,56.0,58,150
262,Marcus Morris,56,1849,20.0,7.4,1.2,9.7,3.0,13.0,0.175,111,100,125,53.0,82.0,21.0,62.0,54.0,130.0,88.0,179.0,87,261
263,Markieff Morris,53,1700,21.4,12.1,1.8,8.3,5.3,18.5,0.268,174,142,174,107.0,171.0,52.0,122.0,43.0,107.0,35.0,95.0,54,147
264,Anthony Morrow,40,627,16.3,2.9,1.6,4.5,1.9,3.2,0.117,40,23,26,8.0,14.0,20.0,34.0,9.0,30.0,12.0,23.0,35,119
265,Donatas Motiejunas,20,318,15.9,20.2,1.8,12.9,5.6,17.4,0.372,42,15,29,12.0,14.0,14.0,31.0,2.0,5.0,8.0,28.0,8,28
266,Timofey Mozgov,53,1089,16.8,16.3,0.7,5.9,9.9,16.3,0.234,129,61,76,94.0,143.0,30.0,85.0,18.0,41.0,24.0,55.0,0,1
267,Emmanuel Mudiay,44,1237,22.4,16.6,1.5,21.5,2.3,11.8,0.293,83,110,142,86.0,171.0,14.0,57.0,15.0,54.0,15.0,45.0,49,159
268,Shabazz Muhammad,53,1040,20.1,7.4,0.7,3.8,5.8,11.3,0.319,61,96,122,81.0,126.0,40.0,94.0,13.0,45.0,5.0,19.0,41,99
269,Dejounte Murray,31,243,25.8,22.3,1.0,19.8,2.4,11.8,0.258,21,18,25,16.0,27.0,16.0,38.0,2.0,8.0,1.0,5.0,8,19
270,Jamal Murray,56,1116,21.1,13.1,1.2,12.9,3.3,10.9,0.18,77,71,81,58.0,98.0,19.0,44.0,12.0,38.0,16.0,53.0,72,218
271,Mike Muscala,50,984,15.2,12.9,1.2,10.4,6.9,13.6,0.198,80,42,54,55.0,79.0,10.0,25.0,18.0,38.0,21.0,46.0,36,85
272,Larry Nance Jr.,39,869,13.1,13.2,2.6,10.2,8.2,19.0,0.224,94,34,47,70.0,93.0,20.0,41.0,7.0,21.0,19.0,43.0,2,13
273,Shabazz Napier,32,246,22.6,16.5,3.4,17.9,0.9,9.6,0.263,18,18,25,8.0,17.0,2.0,6.0,1.0,2.0,7.0,14.0,19,56
274,Maurice Ndour,20,144,14.7,10.1,2.8,1.0,6.7,14.1,0.25,16,9,10,13.0,17.0,0.0,7.0,1.0,5.0,3.0,6.0,1,5
275,Jameer Nelson,56,1473,16.5,17.4,1.2,26.8,1.6,8.6,0.099,150,33,45,54.0,97.0,20.0,41.0,8.0,26.0,43.0,94.0,76,198
276,Raul Neto,29,213,15.8,15.3,3.0,14.9,0.6,10.0,0.068,27,4,4,15.0,22.0,5.0,9.0,0.0,1.0,1.0,6.0,6,21
277,Andrew Nicholson,28,231,17.8,11.8,2.4,4.2,5.5,11.1,0.156,37,7,12,12.0,18.0,10.0,28.0,4.0,12.0,1.0,3.0,3,16
278,Joakim Noah,46,1015,12.4,19.8,1.5,13.9,16.8,25.4,0.39,127,34,78,95.0,178.0,4.0,18.0,0.0,3.0,0.0,1.0,0,1
279,Nerlens Noel,29,564,17.9,12.5,3.6,9.2,9.0,19.2,0.36,71,43,63,76.0,107.0,14.0,28.0,3.0,13.0,10.0,21.0,0,1
280,Lucas Nogueira,48,1037,9.6,19.2,2.3,5.2,8.6,16.6,0.444,132,44,67,92.0,120.0,6.0,15.0,0.0,2.0,2.0,5.0,3,9
281,Dirk Nowitzki,30,780,26.1,6.3,1.4,11.1,2.0,26.2,0.185,59,60,69,15.0,28.0,9.0,21.0,33.0,75.0,44.0,114.0,46,119
282,Jusuf Nurkic,46,828,22.5,19.5,1.7,10.9,12.1,23.9,0.386,91,59,117,113.0,193.0,36.0,86.0,2.0,5.0,5.0,18.0,0,0
283,Kyle O'Quinn,55,840,18.8,14.4,1.4,12.6,14.0,25.0,0.178,118,39,52,94.0,143.0,13.0,28.0,13.0,34.0,35.0,78.0,1,9
284,Jahlil Okafor,38,874,22.9,11.8,0.8,8.2,7.8,15.2,0.344,89,74,121,96.0,134.0,55.0,135.0,21.0,58.0,5.0,18.0,0,0
285,Victor Oladipo,48,1616,21.0,9.5,1.8,12.0,1.9,12.5,0.167,111,83,112,106.0,175.0,19.0,61.0,37.0,74.0,39.0,90.0,92,260
286,Kelly Olynyk,50,1077,18.6,14.1,1.5,14.5,4.7,20.4,0.236,132,58,82,91.0,119.0,16.0,37.0,4.0,17.0,8.0,22.0,55,145
287,Kelly Oubre,53,1095,14.2,9.4,1.8,4.1,4.1,14.2,0.22,133,48,64,53.0,81.0,8.0,29.0,7.0,20.0,12.0,24.0,40,135
288,Zaza Pachulia,44,826,14.4,20.2,2.4,13.5,13.5,21.2,0.484,104,68,88,74.0,125.0,13.0,28.0,4.0,12.0,5.0,17.0,0,0
289,Jabari Parker,51,1728,26.1,9.2,1.5,13.9,5.4,15.2,0.268,111,162,218,228.0,339.0,43.0,119.0,16.0,56.0,47.0,122.0,65,178
290,Tony Parker,43,1121,20.0,11.5,0.9,28.5,0.9,7.0,0.188,67,59,76,65.0,111.0,42.0,101.0,19.0,48.0,49.0,100.0,16,45
291,Chandler Parsons,27,523,18.3,7.6,1.7,13.5,0.6,13.8,0.194,36,30,35,32.0,53.0,0.0,7.0,8.0,25.0,3.0,21.0,20,74
292,Patrick Patterson,40,1090,12.4,9.2,1.4,7.2,4.8,17.7,0.16,84,27,41,16.0,34.0,10.0,24.0,8.0,19.0,3.0,9.0,62,171
293,Chris Paul,36,1112,24.1,14.3,3.6,50.0,2.7,16.0,0.363,88,141,161,21.0,34.0,18.0,33.0,45.0,93.0,55.0,107.0,70,177
294,Cameron Payne,20,320,19.8,11.4,1.5,18.5,0.7,10.0,0.031,38,4,4,5.0,18.0,7.0,18.0,7.0,19.0,5.0,16.0,16,52
295,Elfrid Payton,58,1690,21.9,14.3,1.9,31.8,2.9,11.6,0.209,126,91,137,156.0,259.0,51.0,129.0,24.0,54.0,27.0,75.0,34,127
296,Paul Pierce,13,153,15.5,15.0,1.0,1.8,0.0,12.7,0.244,25,8,10,1.0,3.0,1.0,1.0,1.0,5.0,2.0,5.0,10,27
297,Mason Plumlee,55,1550,18.1,14.0,1.6,21.4,8.5,23.2,0.511,151,130,230,179.0,270.0,32.0,85.0,14.0,37.0,11.0,47.0,0,6
298,Miles Plumlee,37,377,14.2,20.9,1.6,7.4,8.3,13.2,0.443,57,22,35,25.0,45.0,10.0,27.0,1.0,5.0,,,0,0
299,Jakob Poeltl,32,345,10.9,16.6,1.6,3.6,13.3,15.9,0.483,64,16,28,22.0,44.0,6.0,11.0,1.0,2.0,0.0,1.0,0,0
300,Otto Porter,55,1862,15.5,6.0,2.2,6.7,4.4,17.7,0.153,138,70,88,84.0,116.0,26.0,50.0,27.0,49.0,50.0,104.0,118,254
301,Bobby Portis,39,472,17.6,11.5,0.8,6.7,9.5,20.5,0.206,48,21,32,28.0,44.0,14.0,24.0,5.0,18.0,7.0,24.0,13,36
302,Kristaps Porzingis,49,1620,24.0,9.8,1.1,6.4,5.4,17.5,0.26,189,149,190,108.0,155.0,37.0,114.0,63.0,137.0,27.0,84.0,93,242
303,Dwight Powell,56,1025,15.7,5.9,2.8,6.9,8.5,19.7,0.376,104,79,103,104.0,142.0,12.0,31.0,5.0,13.0,21.0,61.0,6,25
304,Norman Powell,53,919,19.3,10.8,2.1,9.0,2.1,10.9,0.278,83,68,88,78.0,134.0,14.0,39.0,3.0,9.0,13.0,31.0,36,105
305,Julius Randle,50,1412,21.9,17.0,1.2,20.2,6.8,24.8,0.368,172,136,190,147.0,231.0,59.0,173.0,21.0,40.0,19.0,49.0,6,24
306,Zach Randolph,50,1215,28.8,8.3,1.1,13.7,11.3,27.8,0.189,103,94,124,119.0,183.0,82.0,189.0,31.0,78.0,50.0,140.0,16,64
307,J.J. Redick,53,1498,22.4,9.2,1.2,7.4,0.8,7.6,0.204,86,113,128,29.0,56.0,14.0,31.0,11.0,35.0,82.0,175.0,139,330
308,Willie Reed,48,702,15.1,8.4,0.7,3.7,13.5,22.3,0.313,82,34,60,78.0,110.0,19.0,51.0,7.0,18.0,3.0,10.0,1,3
309,Josh Richardson,28,875,18.7,11.4,1.5,13.3,1.7,10.0,0.11,74,25,34,20.0,39.0,11.0,24.0,18.0,32.0,28.0,71.0,45,144
310,Malachi Richardson,22,198,19.2,9.5,1.3,8.8,1.8,11.8,0.279,23,15,19,6.0,8.0,2.0,7.0,2.0,5.0,10.0,20.0,8,28
311,Austin Rivers,54,1528,20.0,12.2,1.3,16.1,1.2,6.9,0.251,133,94,136,95.0,164.0,35.0,99.0,15.0,30.0,9.0,36.0,85,213
312,Andre Roberson,57,1745,10.3,9.0,1.9,4.4,4.2,14.3,0.247,138,37,86,109.0,169.0,2.0,20.0,0.0,1.0,2.0,6.0,35,145
313,Brian Roberts,20,146,17.3,17.6,0.7,23.9,2.2,9.5,0.595,5,19,22,0.0,5.0,0.0,4.0,2.0,7.0,5.0,7.0,6,13
314,Glenn Robinson,55,1204,12.6,9.4,1.2,4.7,4.6,13.9,0.217,52,44,61,37.0,63.0,10.0,26.0,10.0,21.0,30.0,67.0,38,99
315,Thomas Robinson,34,374,17.3,16.5,2.1,9.5,16.6,27.3,0.315,54,15,35,45.0,74.0,10.0,24.0,2.0,7.0,1.0,6.0,0,0
316,Sergio Rodriguez,51,1158,19.8,20.5,1.7,35.9,1.4,10.5,0.051,70,15,21,28.0,48.0,17.0,44.0,18.0,44.0,27.0,74.0,73,197
317,Rajon Rondo,48,1260,17.0,23.8,2.5,36.2,3.6,18.0,0.092,94,18,33,51.0,111.0,24.0,54.0,3.0,20.0,31.0,92.0,25,79
318,Derrick Rose,48,1544,26.2,12.7,1.1,23.1,3.8,9.3,0.228,69,147,170,,,,,,,,,13,54
319,Terrence Ross,54,1207,19.7,6.2,2.2,5.8,1.3,11.8,0.104,82,41,50,37.0,55.0,21.0,39.0,22.0,51.0,35.0,76.0,96,256
320,Terry Rozier,52,941,16.2,8.8,1.7,13.8,3.3,15.6,0.176,52,39,51,37.0,81.0,7.0,25.0,11.0,29.0,11.0,29.0,39,118
