,USG%,TOV%,STL%,AST%,ORB%,DRB%,PFP36,FTR,FT%,RIM FGR,RIM FG%,MR FGR,MR FG%,3PAR,3P%,RIM DFGAP36,RIM DFG%,kmeans_label,Name
22,15.7,16.7,2.4,13.9,2.0,11.4,3.183,0.22,0.6,0.363,0.485,0.187,0.294,0.451,0.317,3.073,57.1,0,Ron Baker
23,18.9,24.0,2.3,24.0,2.5,9.8,3.612,0.381,0.844,0.298,0.44,0.488,0.317,0.214,0.111,3.495,66.7,3,Wade Baldwin
24,19.3,8.5,1.6,14.2,1.7,10.5,2.897,0.089,0.84,0.335,0.596,0.438,0.341,0.228,0.422,1.81,65.7,6,Leandro Barbosa
25,25.4,13.1,1.1,35.2,1.3,13.0,1.054,0.172,0.939,0.172,0.515,0.443,0.447,0.385,0.351,1.784,77.3,6,J.J. Barea
26,26.2,6.4,1.3,8.0,3.9,13.8,1.614,0.197,0.841,0.165,0.697,0.658,0.452,0.177,0.335,2.744,73.2,6,Harrison Barnes
27,16.4,16.8,1.3,16.4,4.7,20.5,3.634,0.172,0.758,0.208,0.563,0.242,0.355,0.549,0.327,3.503,72.2,0,Matt Barnes
28,20.6,11.7,1.4,17.2,4.3,13.8,2.327,0.303,0.759,0.313,0.541,0.354,0.424,0.333,0.381,2.622,60.7,6,Will Barton
29,18.6,13.7,0.9,6.9,6.8,14.6,2.725,0.396,0.906,0.485,0.754,0.5,0.448,0.015,0.5,4.046,71.4,6,Brandon Bass
30,21.3,16.2,1.6,27.6,2.2,19.6,1.649,0.312,0.847,0.115,0.649,0.474,0.387,0.411,0.36,2.591,63.6,5,Nicolas Batum
31,13.8,14.3,0.8,3.0,8.7,20.4,5.217,0.366,0.871,0.482,0.533,0.518,0.434,0.0,0.0,6.683,52.3,8,Aron Baynes
32,20.4,13.6,2.4,14.6,2.3,10.3,2.891,0.227,0.715,0.262,0.556,0.378,0.351,0.361,0.332,2.696,53.2,0,Kent Bazemore
33,26.4,9.9,1.5,17.1,2.0,7.4,2.274,0.268,0.811,0.237,0.608,0.325,0.473,0.438,0.402,2.315,75.2,6,Bradley Beal
