,USG%,TOV%,STL%,AST%,ORB%,DRB%,PFP36,FTR,FT%,RIM FGR,RIM FG%,MR FGR,MR FG%,3PAR,3P%,RIM DFGAP36,RIM DFG%,kmeans_label,Name
169,19.5,15.8,1.2,11.1,0.8,9.8,3.848,0.25,0.708,0.125,0.583,0.5,0.313,0.375,0.25,1.738,78.6,3,Darrun Hilliard
170,24.6,17.1,2.4,38.4,2.5,10.7,2.781,0.222,0.69,0.303,0.599,0.4,0.427,0.296,0.393,2.887,64.2,3,Jrue Holiday
171,16.6,11.1,2.2,8.5,1.9,13.6,2.764,0.186,0.833,0.197,0.6,0.262,0.398,0.541,0.359,3.375,67.6,0,Justin Holiday
172,17.9,16.8,2.1,14.2,4.2,20.5,3.746,0.523,0.762,0.452,0.559,0.402,0.341,0.146,0.213,4.159,66.4,1,Rondae Hollis-Jefferson
173,18.3,13.0,1.6,8.4,10.5,19.0,4.445,0.314,0.62,0.478,0.737,0.384,0.311,0.138,0.364,7.506,57.3,1,Richaun Holmes
174,23.1,8.3,1.1,11.1,1.1,13.0,2.861,0.159,0.753,0.13,0.619,0.406,0.418,0.464,0.366,2.61,61.4,6,Rodney Hood
175,20.6,11.3,1.1,23.7,4.6,17.9,2.382,0.155,0.807,0.207,0.702,0.442,0.43,0.351,0.351,6.174,59.4,2,Al Horford
176,18.8,16.4,1.5,6.8,16.2,32.1,3.519,0.652,0.553,0.788,0.745,0.208,0.276,0.005,0.0,4.859,52.7,1,Dwight Howard
177,17.0,20.1,2.1,31.4,0.9,10.4,2.43,0.25,0.529,0.132,0.667,0.588,0.375,0.279,0.211,4.405,89.7,3,Marcelo Huertas
178,17.7,11.4,1.0,6.4,9.7,21.9,3.862,0.388,0.79,0.373,0.6,0.373,0.333,0.255,0.366,6.207,60.0,2,Kris Humphries
179,21.0,8.2,1.0,5.9,6.3,18.6,2.926,0.129,0.846,0.169,0.735,0.522,0.47,0.309,0.388,6.189,58.5,2,Serge Ibaka
180,10.3,11.2,1.7,16.4,3.2,12.8,1.694,0.205,0.691,0.352,0.745,0.191,0.373,0.457,0.361,2.685,72.8,7,Andre Iguodala
181,23.3,10.1,1.2,11.3,5.3,18.8,3.292,0.214,0.768,0.231,0.662,0.296,0.402,0.473,0.355,4.318,62.4,2,Ersan Ilyasova
182,13.7,17.5,2.8,16.3,1.0,13.2,3.16,0.168,0.809,0.175,0.792,0.196,0.296,0.629,0.439,2.126,63.5,0,Joe Ingles
183,15.6,12.6,0.8,10.0,2.7,13.7,2.446,0.331,0.655,0.244,0.541,0.454,0.305,0.302,0.304,2.94,71.0,6,Brandon Ingram
184,30.2,11.1,1.8,29.7,2.4,7.3,2.213,0.221,0.906,0.264,0.612,0.417,0.42,0.32,0.389,2.694,71.3,5,Kyrie Irving
185,26.6,14.0,1.4,31.3,1.6,7.2,3.378,0.224,0.85,0.252,0.471,0.468,0.44,0.281,0.363,2.358,56.7,3,Reggie Jackson
186,29.5,16.9,1.9,41.6,3.6,18.7,1.66,0.385,0.689,0.4,0.777,0.345,0.375,0.255,0.389,3.154,64.9,5,LeBron James
187,26.0,5.8,1.0,11.2,9.2,23.4,4.76,0.188,0.772,0.297,0.648,0.701,0.444,0.002,0.0,4.76,61.8,8,Al Jefferson
188,12.2,11.7,0.7,6.6,2.3,10.8,3.422,0.319,0.736,0.276,0.79,0.187,0.238,0.538,0.289,3.251,61.1,0,Richard Jefferson
189,17.8,18.1,1.9,28.2,1.5,9.7,2.003,0.312,0.754,0.226,0.532,0.303,0.349,0.471,0.342,2.183,74.1,3,Brandon Jennings
190,11.6,14.1,1.3,7.2,5.3,17.8,3.677,0.106,0.81,0.224,0.705,0.276,0.426,0.5,0.347,4.568,63.6,0,Jonas Jerebko
191,13.7,14.4,1.4,12.9,9.1,16.9,4.761,0.265,0.667,0.52,0.715,0.304,0.408,0.176,0.409,7.337,54.2,2,Amir Johnson
192,21.5,17.5,1.7,19.8,3.6,16.9,3.571,0.281,0.71,0.371,0.615,0.282,0.486,0.347,0.353,4.379,52.4,2,James Johnson
193,18.1,10.1,0.8,12.4,2.2,12.9,1.771,0.123,0.804,0.07,0.759,0.518,0.421,0.412,0.412,1.771,64.5,6,Joe Johnson
194,14.2,16.3,1.9,10.8,2.9,12.3,3.409,0.183,0.65,0.133,0.621,0.472,0.398,0.394,0.302,1.989,51.0,0,Stanley Johnson
195,20.6,7.4,2.0,16.4,2.5,12.8,2.916,0.309,0.761,0.248,0.582,0.45,0.391,0.302,0.349,3.849,55.9,6,Tyler Johnson
196,12.7,8.1,2.1,4.5,4.2,21.8,3.957,0.105,0.647,0.161,0.577,0.267,0.465,0.571,0.283,5.127,57.6,0,Wesley Johnson
197,23.1,14.1,1.4,26.9,12.8,24.3,4.094,0.274,0.816,0.365,0.66,0.482,0.582,0.153,0.365,7.861,63.2,2,Nikola Jokic
198,13.2,9.7,0.6,4.2,0.9,9.0,3.314,0.237,0.643,0.051,0.667,0.203,0.333,0.746,0.568,5.272,51.4,0,James Jones
199,21.4,7.9,1.5,7.5,5.4,20.0,1.908,0.348,0.606,0.4,0.677,0.446,0.369,0.154,0.253,6.009,63.0,6,Terrence Jones
200,14.0,16.7,2.9,27.5,2.0,7.4,2.533,0.28,0.808,0.194,0.444,0.344,0.438,0.462,0.372,2.08,87.0,3,Tyus Jones
201,15.1,14.6,0.9,5.6,12.8,35.2,3.043,0.739,0.502,0.865,0.735,0.133,0.431,0.003,0.0,6.147,54.2,1,DeAndre Jordan
202,18.4,11.1,1.6,18.1,2.8,10.5,2.665,0.218,0.791,0.28,0.607,0.55,0.374,0.17,0.394,3.07,69.8,6,Cory Joseph
203,21.4,8.3,1.5,13.4,3.5,16.2,2.452,0.187,0.748,0.232,0.563,0.338,0.386,0.43,0.308,5.116,63.5,6,Frank Kaminsky
204,26.3,12.1,1.0,8.6,13.3,20.9,3.653,0.382,0.789,0.569,0.664,0.365,0.477,0.066,0.161,8.264,54.9,2,Enes Kanter
205,14.5,7.9,1.4,7.0,7.3,19.9,2.776,0.317,0.765,0.513,0.591,0.468,0.327,0.019,0.125,4.12,54.5,8,Michael Kidd-Gilchrist
206,23.9,15.2,1.3,14.7,1.3,15.0,2.62,0.31,0.838,0.276,0.57,0.308,0.364,0.415,0.351,2.544,74.3,6,Sean Kilpatrick
207,25.2,12.9,1.1,18.1,2.2,9.6,2.747,0.293,0.857,0.246,0.558,0.489,0.359,0.265,0.324,2.589,73.2,6,Brandon Knight
208,14.8,12.5,1.1,9.8,0.6,11.2,2.065,0.09,0.886,0.043,0.647,0.292,0.474,0.665,0.45,3.451,63.6,0,Kyle Korver
209,14.3,14.2,1.5,5.3,9.6,23.2,4.356,0.187,0.549,0.46,0.706,0.536,0.476,0.004,0.0,5.544,62.5,8,Kosta Koufos
210,19.0,11.2,1.8,10.0,5.0,8.9,2.886,0.172,0.791,0.356,0.607,0.164,0.317,0.48,0.317,3.464,63.6,0,Mindaugas Kuzminskas
211,24.4,6.5,1.0,11.2,3.2,24.3,3.151,0.297,0.807,0.223,0.672,0.467,0.453,0.31,0.259,3.384,72.4,6,Jeremy Lamb
212,18.2,27.2,1.2,22.8,0.7,5.7,3.931,0.191,1.0,0.277,0.538,0.149,0.429,0.574,0.37,3.517,82.4,4,Nicolas Laprovittola
213,17.8,12.6,1.1,10.5,7.7,19.7,3.459,0.238,0.638,0.37,0.614,0.303,0.389,0.328,0.346,4.384,61.1,0,Joffrey Lauvergne
214,21.7,9.9,1.2,12.9,1.2,9.6,2.141,0.197,0.836,0.272,0.637,0.292,0.401,0.437,0.387,1.688,73.2,6,Zach LaVine
215,18.9,17.6,2.3,28.5,3.1,9.4,2.155,0.35,0.809,0.287,0.626,0.464,0.399,0.249,0.29,1.896,60.6,3,Ty Lawson
216,19.6,7.5,2.0,6.8,1.5,9.0,3.383,0.232,0.692,0.089,0.8,0.232,0.385,0.679,0.237,4.107,64.7,0,Jake Layman
217,13.5,7.6,1.4,9.4,2.6,8.5,2.12,0.11,0.84,0.145,0.606,0.451,0.439,0.404,0.418,2.717,69.1,6,Courtney Lee
218,17.0,14.5,1.1,13.5,11.2,22.5,3.132,0.287,0.702,0.587,0.703,0.413,0.446,0.0,0.0,5.595,52.8,8,David Lee
219,17.4,16.4,0.9,4.3,10.4,26.1,5.598,0.436,0.731,0.524,0.64,0.463,0.352,0.013,0.25,7.77,50.2,2,Alex Len
220,31.0,9.0,2.7,17.6,4.1,15.5,1.642,0.418,0.899,0.182,0.646,0.529,0.482,0.289,0.396,2.8,61.7,5,Kawhi Leonard
221,16.7,8.7,0.4,7.8,2.6,19.3,5.051,0.108,0.893,0.104,0.667,0.319,0.301,0.577,0.34,6.429,51.4,2,Meyers Leonard
222,17.0,8.7,0.8,9.6,5.4,18.2,2.767,0.192,0.906,0.253,0.813,0.47,0.462,0.278,0.325,4.725,59.1,2,Jon Leuer
223,16.2,14.4,2.2,14.1,1.8,12.8,2.636,0.262,0.735,0.241,0.689,0.23,0.395,0.529,0.303,2.636,70.2,0,Caris LeVert
224,10.9,19.3,3.0,9.3,2.1,10.3,3.628,0.267,0.677,0.405,0.532,0.216,0.16,0.379,0.386,3.181,66.7,0,DeAndre Liggins
225,30.6,10.3,1.0,28.0,2.1,13.2,2.26,0.369,0.901,0.262,0.6,0.357,0.399,0.382,0.347,2.535,66.7,5,Damian Lillard
226,25.6,17.8,2.5,40.2,0.7,12.9,1.44,0.315,0.707,0.277,0.583,0.354,0.522,0.369,0.333,3.48,48.3,5,Jeremy Lin
227,13.2,15.2,1.3,12.9,2.5,9.3,3.299,0.189,0.6,0.203,0.767,0.792,0.518,0.005,0.0,2.769,69.1,8,Shaun Livingston
228,12.5,11.2,1.5,8.0,10.6,18.9,5.566,0.36,0.656,0.708,0.746,0.202,0.111,0.09,0.25,5.207,56.9,1,Kevon Looney
229,29.3,11.7,0.9,16.0,5.7,12.7,3.125,0.325,0.835,0.23,0.663,0.443,0.463,0.328,0.344,5.94,56.6,2,Brook Lopez
230,16.6,9.7,0.3,5.4,13.1,13.7,2.417,0.143,0.676,0.321,0.519,0.677,0.48,0.002,0.0,9.26,52.7,8,Robin Lopez
231,26.6,11.0,1.4,9.6,8.9,28.9,2.014,0.366,0.876,0.203,0.559,0.334,0.411,0.463,0.384,5.673,63.6,2,Kevin Love
232,24.8,13.4,1.9,29.1,2.5,11.9,2.78,0.395,0.826,0.186,0.667,0.303,0.417,0.51,0.417,2.439,75.5,5,Kyle Lowry
233,16.8,17.9,1.0,9.8,2.2,11.2,4.966,0.417,0.764,0.473,0.557,0.178,0.13,0.349,0.311,3.14,53.5,4,Timothe Luwawu-Cabarrot
234,22.0,11.9,1.3,10.3,5.0,18.0,2.83,0.178,0.718,0.173,0.594,0.353,0.348,0.474,0.323,5.246,57.2,0,Trey Lyles
235,19.8,19.6,1.9,21.5,1.9,9.7,2.893,0.172,0.66,0.241,0.595,0.44,0.452,0.319,0.316,2.6,59.2,3,Shelvin Mack
236,19.2,8.6,1.4,2.8,8.1,18.0,5.78,0.338,0.6,0.311,0.696,0.257,0.263,0.432,0.5,6.44,61.5,0,Thon Maker
237,24.4,8.1,0.6,5.1,20.5,32.1,2.491,0.397,0.778,0.338,0.652,0.662,0.378,0.0,0.0,7.019,48.4,8,Boban Marjanovic
238,16.1,14.1,1.4,2.0,7.6,25.6,6.022,0.333,0.792,0.507,0.425,0.313,0.311,0.181,0.346,4.283,65.6,4,Jarell Martin
239,20.5,8.5,1.6,11.7,0.7,11.8,2.267,0.212,0.813,0.122,0.585,0.315,0.373,0.563,0.381,1.671,75.9,6,Wesley Matthews
240,11.7,10.6,2.3,2.5,3.6,8.2,2.664,0.248,0.719,0.446,0.617,0.244,0.381,0.31,0.388,3.464,64.1,7,Luc Mbah a Moute
241,13.6,14.3,1.3,5.4,6.3,12.0,3.532,0.246,0.5,0.569,0.73,0.385,0.4,0.046,0.0,8.151,58.3,8,James Michael McAdoo
242,12.6,13.2,1.3,9.6,1.9,6.6,2.459,0.131,0.611,0.175,0.667,0.241,0.394,0.584,0.35,3.089,65.3,7,Patrick McCaw
243,13.5,3.9,1.6,8.0,1.9,11.6,2.323,0.328,0.857,0.203,0.462,0.391,0.48,0.406,0.231,3.048,57.1,6,Sheldon McClellan
244,28.1,10.4,1.5,18.6,2.6,9.3,2.96,0.207,0.896,0.162,0.577,0.503,0.498,0.334,0.411,2.513,51.1,2,C.J. McCollum
245,14.1,22.5,2.9,37.6,1.8,11.5,2.472,0.152,0.776,0.357,0.634,0.538,0.402,0.105,0.212,2.051,69.2,3,T.J. McConnell
246,16.6,12.1,1.4,2.7,3.1,12.5,4.075,0.147,0.9,0.368,0.64,0.235,0.375,0.397,0.333,3.057,72.2,0,K.J. McDaniels
247,17.5,7.4,0.5,6.6,1.4,11.8,1.904,0.18,0.881,0.202,0.595,0.392,0.438,0.406,0.376,3.173,57.9,6,Doug McDermott
248,23.8,11.5,1.2,4.0,13.1,20.8,5.544,0.327,0.471,0.769,0.775,0.216,0.378,0.014,0.0,8.131,57.3,1,JaVale McGee
249,12.0,9.6,1.4,8.2,5.6,8.8,2.564,0.165,0.654,0.213,0.672,0.312,0.296,0.475,0.336,2.797,73.1,7,Rodney McGruder
250,18.2,11.9,1.5,7.3,2.0,7.9,2.769,0.16,0.775,0.188,0.702,0.38,0.316,0.432,0.37,2.196,56.5,0,Ben McLemore
251,20.5,7.9,1.0,7.4,1.8,9.6,2.835,0.228,0.794,0.271,0.462,0.382,0.382,0.347,0.34,3.874,63.4,6,Jordan McRae
252,16.9,15.9,1.3,19.1,6.6,14.8,2.929,0.076,0.667,0.291,0.588,0.444,0.212,0.265,0.419,5.008,66.0,0,Josh McRoberts
253,18.0,11.4,2.7,10.9,0.6,11.0,2.008,0.25,0.905,0.155,0.5,0.315,0.396,0.53,0.404,2.7,71.8,0,Jodie Meeks
254,9.4,22.7,2.0,2.3,11.9,29.2,5.991,0.391,0.647,0.723,0.75,0.253,0.524,0.024,0.0,8.636,52.5,1,Salah Mejri
255,15.6,17.3,0.9,6.3,11.6,15.5,2.793,0.345,0.6,0.633,0.579,0.333,0.3,0.033,0.0,6.828,72.7,1,Jordan Mickey
256,18.6,5.7,1.3,3.8,1.6,12.5,3.242,0.148,0.875,0.11,0.596,0.267,0.404,0.623,0.417,2.019,62.1,0,C.J. Miles
257,20.2,13.6,2.0,23.6,1.8,7.7,2.369,0.131,0.857,0.158,0.603,0.309,0.398,0.533,0.432,1.969,73.4,3,Patty Mills
258,24.2,11.5,2.1,18.0,5.6,19.6,2.804,0.384,0.763,0.252,0.607,0.489,0.411,0.259,0.327,5.848,59.2,5,Paul Millsap
259,19.4,11.0,1.6,6.0,3.5,21.6,2.805,0.212,0.771,0.207,0.605,0.194,0.395,0.598,0.299,4.809,59.0,0,Nikola Mirotic
260,23.9,13.6,2.9,16.2,10.5,24.7,3.117,0.361,0.726,0.578,0.621,0.417,0.433,0.004,0.0,6.295,61.7,1,Greg Monroe
261,18.0,9.6,1.4,14.0,2.2,7.2,2.802,0.102,0.756,0.178,0.62,0.484,0.447,0.338,0.387,3.546,63.7,6,E'Twaun Moore
262,20.0,7.4,1.2,9.7,3.0,13.0,2.161,0.175,0.8,0.115,0.646,0.52,0.439,0.366,0.333,2.375,56.6,6,Marcus Morris
263,21.4,12.1,1.8,8.3,5.3,18.5,3.685,0.268,0.816,0.266,0.626,0.505,0.401,0.229,0.367,4.532,56.1,2,Markieff Morris
264,16.3,2.9,1.6,4.5,1.9,3.2,2.297,0.117,0.885,0.064,0.571,0.395,0.471,0.541,0.294,2.813,69.4,6,Anthony Morrow
265,15.9,20.2,1.8,12.9,5.6,17.4,4.755,0.372,0.517,0.132,0.857,0.604,0.375,0.264,0.286,5.434,56.3,2,Donatas Motiejunas
266,16.8,16.3,0.7,5.9,9.9,16.3,4.264,0.234,0.803,0.44,0.657,0.557,0.398,0.003,0.0,6.744,60.3,8,Timofey Mozgov
267,22.4,16.6,1.5,21.5,2.3,11.8,2.416,0.293,0.775,0.352,0.503,0.321,0.282,0.327,0.308,2.91,80.0,3,Emmanuel Mudiay
268,20.1,7.4,0.7,3.8,5.8,11.3,2.112,0.319,0.787,0.329,0.643,0.413,0.367,0.258,0.414,1.869,57.4,6,Shabazz Muhammad
269,25.8,22.3,1.0,19.8,2.4,11.8,3.111,0.258,0.72,0.278,0.593,0.526,0.373,0.196,0.421,2.963,70.0,3,Dejounte Murray
270,21.1,13.1,1.2,12.9,3.3,10.9,2.484,0.18,0.877,0.217,0.592,0.299,0.348,0.483,0.33,2.516,74.4,6,Jamal Murray
271,15.2,12.9,1.2,10.4,6.9,13.6,2.927,0.198,0.778,0.289,0.696,0.399,0.45,0.311,0.424,5.854,53.8,2,Mike Muscala
272,13.1,13.2,2.6,10.2,8.2,19.0,3.894,0.224,0.723,0.441,0.753,0.498,0.438,0.062,0.154,5.758,71.2,8,Larry Nance Jr.
273,22.6,16.5,3.4,17.9,0.9,9.6,2.634,0.263,0.72,0.179,0.471,0.232,0.455,0.589,0.339,1.61,72.7,3,Shabazz Napier
274,14.7,10.1,2.8,1.0,6.7,14.1,4.0,0.25,0.9,0.425,0.765,0.45,0.222,0.125,0.2,4.25,70.6,7,Maurice Ndour
275,16.5,17.4,1.2,26.8,1.6,8.6,3.666,0.099,0.733,0.213,0.557,0.353,0.441,0.434,0.384,1.931,69.6,3,Jameer Nelson
276,15.8,15.3,3.0,14.9,0.6,10.0,4.563,0.068,1.0,0.373,0.682,0.271,0.375,0.356,0.286,3.211,57.9,0,Raul Neto
277,17.8,11.8,2.4,4.2,5.5,11.1,5.766,0.156,0.583,0.234,0.667,0.558,0.349,0.208,0.188,6.545,61.9,8,Andrew Nicholson
278,12.4,19.8,1.5,13.9,16.8,25.4,4.504,0.39,0.436,0.886,0.534,0.109,0.182,0.005,0.0,6.774,62.8,1,Joakim Noah
279,17.9,12.5,3.6,9.2,9.0,19.2,4.532,0.36,0.683,0.629,0.71,0.365,0.435,0.006,0.0,8.426,50.8,1,Nerlens Noel
280,9.6,19.2,2.3,5.2,8.6,16.6,4.582,0.444,0.657,0.795,0.767,0.146,0.364,0.06,0.333,7.637,55.9,1,Lucas Nogueira
281,26.1,6.3,1.4,11.1,2.0,26.2,2.723,0.185,0.87,0.078,0.536,0.588,0.41,0.333,0.387,5.308,55.7,2,Dirk Nowitzki
282,22.5,19.5,1.7,10.9,12.1,23.9,3.957,0.386,0.504,0.639,0.585,0.361,0.394,0.0,0.0,8.043,57.8,1,Jusuf Nurkic
283,18.8,14.4,1.4,12.6,14.0,25.0,5.057,0.178,0.75,0.49,0.657,0.479,0.436,0.031,0.111,9.0,47.6,2,Kyle O'Quinn
284,22.9,11.8,0.8,8.2,7.8,15.2,3.666,0.344,0.612,0.388,0.716,0.612,0.384,0.0,0.0,7.785,58.2,8,Jahlil Okafor
285,21.0,9.5,1.8,12.0,1.9,12.5,2.473,0.167,0.741,0.265,0.606,0.341,0.422,0.394,0.354,3.319,69.1,6,Victor Oladipo
286,18.6,14.1,1.5,14.5,4.7,20.4,4.412,0.236,0.707,0.35,0.765,0.224,0.368,0.426,0.379,5.916,58.8,0,Kelly Olynyk
287,14.2,9.4,1.8,4.1,4.1,14.2,4.373,0.22,0.75,0.28,0.654,0.253,0.37,0.467,0.296,3.222,68.4,0,Kelly Oubre
288,14.4,20.2,2.4,13.5,13.5,21.2,4.533,0.484,0.773,0.687,0.592,0.313,0.386,0.0,0.0,7.801,65.9,1,Zaza Pachulia
289,26.1,9.2,1.5,13.9,5.4,15.2,2.313,0.268,0.743,0.416,0.673,0.365,0.357,0.219,0.365,3.021,59.3,6,Jabari Parker
290,20.0,11.5,0.9,28.5,0.9,7.0,2.152,0.188,0.776,0.274,0.586,0.615,0.442,0.111,0.356,2.216,66.7,6,Tony Parker
291,18.3,7.6,1.7,13.5,0.6,13.8,2.478,0.194,0.857,0.294,0.604,0.294,0.208,0.411,0.27,1.583,65.2,6,Chandler Parsons
292,12.4,9.2,1.4,7.2,4.8,17.7,2.774,0.16,0.659,0.132,0.471,0.202,0.404,0.665,0.363,3.864,57.3,0,Patrick Patterson
293,24.1,14.3,3.6,50.0,2.7,16.0,2.849,0.363,0.876,0.077,0.618,0.525,0.506,0.399,0.395,2.493,68.8,5,Chris Paul
294,19.8,11.4,1.5,18.5,0.7,10.0,4.275,0.031,1.0,0.146,0.278,0.431,0.358,0.423,0.308,3.263,72.4,4,Cameron Payne
295,21.9,14.3,1.9,31.8,2.9,11.6,2.684,0.209,0.664,0.402,0.602,0.401,0.395,0.197,0.268,2.791,69.5,3,Elfrid Payton
296,15.5,15.0,1.0,1.8,0.0,12.7,5.882,0.244,0.8,0.073,0.333,0.268,0.364,0.659,0.37,2.353,60.0,4,Paul Pierce
297,18.1,14.0,1.6,21.4,8.5,23.2,3.507,0.511,0.565,0.607,0.663,0.38,0.337,0.013,0.0,6.921,53.0,1,Mason Plumlee
298,14.2,20.9,1.6,7.4,8.3,13.2,5.443,0.443,0.629,0.584,0.556,0.416,0.344,0.0,0.0,7.162,57.3,1,Miles Plumlee
299,10.9,16.6,1.6,3.6,13.3,15.9,6.678,0.483,0.571,0.759,0.5,0.241,0.5,0.0,0.0,7.409,59.2,1,Jakob Poeltl
300,15.5,6.0,2.2,6.7,4.4,17.7,2.668,0.153,0.795,0.202,0.724,0.354,0.507,0.443,0.465,3.577,66.5,2,Otto Porter
301,17.6,11.5,0.8,6.7,9.5,20.5,3.661,0.206,0.656,0.301,0.636,0.452,0.394,0.247,0.361,5.72,66.7,8,Bobby Portis
302,24.0,9.8,1.1,6.4,5.4,17.5,4.2,0.26,0.784,0.212,0.697,0.458,0.379,0.331,0.384,7.222,48.6,2,Kristaps Porzingis
303,15.7,5.9,2.8,6.9,8.5,19.7,3.653,0.376,0.767,0.522,0.732,0.386,0.362,0.092,0.24,6.076,69.4,1,Dwight Powell
304,19.3,10.8,2.1,9.0,2.1,10.9,3.251,0.278,0.773,0.421,0.582,0.248,0.38,0.33,0.343,2.585,72.7,6,Norman Powell
305,21.9,17.0,1.2,20.2,6.8,24.8,4.385,0.368,0.716,0.447,0.636,0.507,0.378,0.046,0.25,5.176,58.1,2,Julius Randle
306,28.8,8.3,1.1,13.7,11.3,27.8,3.052,0.189,0.758,0.28,0.65,0.622,0.4,0.098,0.25,4.563,66.2,8,Zach Randolph
307,22.4,9.2,1.2,7.4,0.8,7.6,2.067,0.204,0.883,0.089,0.518,0.384,0.444,0.526,0.421,2.187,76.9,6,J.J. Redick
308,15.1,8.4,0.7,3.7,13.5,22.3,4.205,0.313,0.567,0.573,0.709,0.411,0.367,0.016,0.333,7.231,54.6,8,Willie Reed
309,18.7,11.4,1.5,13.3,1.7,10.0,3.045,0.11,0.735,0.126,0.513,0.41,0.449,0.465,0.313,2.592,55.6,6,Josh Richardson
310,19.2,9.5,1.3,8.8,1.8,11.8,4.182,0.279,0.789,0.118,0.75,0.471,0.438,0.412,0.286,2.545,78.6,6,Malachi Richardson
311,20.0,12.2,1.3,16.1,1.2,6.9,3.134,0.251,0.691,0.303,0.579,0.304,0.358,0.393,0.399,2.568,59.6,6,Austin Rivers
312,10.3,9.0,1.9,4.4,4.2,14.3,2.847,0.247,0.43,0.496,0.645,0.079,0.148,0.425,0.241,4.766,57.1,7,Andre Roberson
313,17.3,17.6,0.7,23.9,2.2,9.5,1.233,0.595,0.864,0.139,0.0,0.5,0.389,0.361,0.462,1.726,71.4,4,Brian Roberts
314,12.6,9.4,1.2,4.7,4.6,13.9,1.555,0.217,0.721,0.228,0.587,0.413,0.439,0.359,0.384,2.841,65.3,6,Glenn Robinson
315,17.3,16.5,2.1,9.5,16.6,27.3,5.198,0.315,0.429,0.667,0.608,0.333,0.351,0.0,0.0,5.968,62.9,1,Thomas Robinson
316,19.8,20.5,1.7,35.9,1.4,10.5,2.176,0.051,0.714,0.118,0.583,0.398,0.383,0.484,0.371,1.617,82.7,3,Sergio Rodriguez
317,17.0,23.8,2.5,36.2,3.6,18.0,2.686,0.092,0.545,0.312,0.459,0.466,0.349,0.222,0.316,2.571,76.7,3,Rajon Rondo
318,26.2,12.7,1.1,23.1,3.8,9.3,1.609,0.228,0.865,0.413,0.555,0.514,0.418,0.072,0.241,2.378,66.7,6,Derrick Rose
319,19.7,6.2,2.2,5.8,1.3,11.8,2.446,0.104,0.82,0.115,0.673,0.348,0.47,0.537,0.375,2.625,70.5,6,Terrence Ross
320,16.2,8.8,1.7,13.8,3.3,15.6,1.989,0.176,0.765,0.287,0.457,0.294,0.349,0.418,0.331,2.601,64.7,6,Terry Rozier
321,14.9,22.4,2.8,36.2,3.3,10.6,2.859,0.462,0.872,0.214,0.5,0.425,0.417,0.361,0.281,2.683,71.3,3,Ricky Rubio
322,13.0,10.3,2.1,8.7,2.0,7.6,3.775,0.0,0.0,0.043,0.667,0.186,0.385,0.771,0.352,3.101,73.9,7,Damjan Rudez
323,10.5,12.2,1.5,5.3,2.2,9.1,1.217,0.122,0.7,0.134,0.455,0.256,0.238,0.61,0.4,2.87,60.6,0,Brandon Rush
324,26.8,15.9,2.2,28.9,2.2,13.6,2.622,0.231,0.772,0.122,0.538,0.437,0.395,0.441,0.349,2.978,76.1,3,D'Angelo Russell
325,14.9,15.3,1.2,7.0,3.1,15.9,4.198,0.094,0.697,0.282,0.557,0.358,0.366,0.36,0.315,5.597,54.2,0,Domantas Sabonis
326,22.9,15.0,1.3,11.8,6.0,20.7,2.553,0.208,0.784,0.273,0.553,0.327,0.344,0.4,0.327,5.026,62.8,0,Dario Saric
327,12.1,20.5,1.8,16.9,4.4,9.2,2.995,0.239,0.769,0.321,0.486,0.431,0.489,0.248,0.222,3.515,57.4,3,Tomas Satoransky
328,27.3,15.9,1.3,35.3,1.8,8.4,2.0,0.231,0.832,0.372,0.556,0.384,0.434,0.243,0.345,2.188,64.8,5,Dennis Schroder
329,18.7,16.9,1.4,12.7,11.8,19.9,4.92,0.245,0.676,0.382,0.672,0.289,0.341,0.329,0.34,5.232,65.7,0,Luis Scola
330,15.6,11.5,1.0,12.3,5.7,15.1,2.215,0.138,0.875,0.121,0.571,0.414,0.375,0.466,0.148,3.138,52.9,6,Mike Scott
331,13.7,11.5,3.2,8.9,3.4,14.7,2.121,0.197,0.772,0.37,0.636,0.356,0.369,0.273,0.329,2.628,68.7,7,Thabo Sefolosha
332,17.1,11.9,0.5,7.2,8.5,20.4,3.981,0.074,0.5,0.266,0.676,0.727,0.516,0.008,0.0,5.106,50.8,8,Kevin Seraphin
333,19.8,12.7,1.5,24.3,1.6,8.2,1.909,0.449,0.771,0.314,0.518,0.451,0.311,0.235,0.339,1.953,56.8,6,Ramon Sessions
334,13.5,12.5,1.9,8.5,2.5,10.0,2.803,0.206,0.773,0.163,0.654,0.254,0.333,0.583,0.403,2.859,65.0,0,Iman Shumpert
335,12.8,13.4,1.4,2.7,8.2,15.1,4.6,0.171,0.688,0.471,0.614,0.508,0.421,0.021,0.0,6.03,57.8,8,Pascal Siakam
336,17.8,14.3,1.9,12.9,1.7,12.5,3.822,0.348,0.75,0.362,0.6,0.409,0.363,0.228,0.302,3.134,63.4,3,Jonathon Simmons
337,10.5,14.3,0.5,2.4,1.6,10.9,2.553,0.2,0.818,0.345,0.737,0.182,0.2,0.473,0.231,4.468,62.9,0,Kyle Singler
338,18.2,16.4,2.8,21.2,3.4,10.7,2.66,0.298,0.773,0.213,0.5,0.339,0.361,0.448,0.311,2.167,59.4,3,Marcus Smart
339,19.2,14.1,1.5,30.8,1.2,11.7,2.351,0.146,0.687,0.31,0.592,0.544,0.414,0.146,0.254,3.362,60.2,3,Ish Smith
