,Player1,Player2,Player3,Player4,Player5,Team,GP,MP,POSS,DPOSS,DFGM,DFGA,D3PM,D3PA,DFTM,DFTA,DPTS
3756,Jordan Mickey,Kelly Olynyk,Terry Rozier,Marcus Smart,James Young,BOS,2,4.0,8,9,3,6,0,2,3,3,9
3757,Kent Bazemore,DeAndre' Bembry,Paul Millsap,Mike Muscala,Dennis Schroder,ATL,3,1.4,4,4,3,4,3,4,0,0,9
3758,Jimmy Butler,Michael Carter-Williams,Robin Lopez,Denzel Valentine,Paul Zipser,CHI,1,3.2,6,6,3,3,2,2,1,2,9
3759,Cory Joseph,Kyle Lowry,Jakob Poeltl,Terrence Ross,Jared Sullinger,TOR,3,4.0,8,7,3,8,2,4,1,1,9
3760,Gerald Green,Al Horford,Jonas Jerebko,Marcus Smart,Isaiah Thomas,BOS,2,2.9,6,5,2,4,1,2,4,5,9
3761,Al-Farouq Aminu,Damian Lillard,C.J. McCollum,Evan Turner,Noah Vonleh,POR,2,4.4,8,8,4,7,1,2,0,0,9
3762,Wade Baldwin,Troy Daniels,James Ennis,JaMychal Green,Jarell Martin,MEM,1,4.0,8,9,3,8,1,4,2,4,9
3763,Trey Burke,Sheldon McClellan,Andrew Nicholson,Tomas Satoransky,Jason Smith,WAS,2,4.1,8,8,3,5,0,1,3,6,9
3764,Joel Embiid,Ersan Ilyasova,Timothe Luwawu-Cabarrot,Dario Saric,Nik Stauskas,PHI,1,7.1,14,14,3,12,1,5,2,2,9
3765,Malcolm Delaney,Tim Hardaway,Mike Muscala,Taurean Waller-Prince,Thabo Sefolosha,ATL,3,5.8,11,11,4,11,1,4,0,0,9
3766,Anthony Davis,Tim Frazier,Buddy Hield,Terrence Jones,Lance Stephenson,NOP,2,2.6,4,5,3,4,1,1,2,2,9
3767,Michael Carter-Williams,Robin Lopez,Doug McDermott,Nikola Mirotic,Dwyane Wade,CHI,3,5.0,10,8,4,8,1,1,0,0,9
3768,Richaun Holmes,Ersan Ilyasova,Timothe Luwawu-Cabarrot,Sergio Rodriguez,Dario Saric,PHI,2,3.6,9,9,4,7,0,0,1,2,9
3769,Cole Aldrich,Kris Dunn,Zach LaVine,Adreian Payne,Brandon Rush,MIN,1,2.7,4,5,3,5,1,2,2,2,9
3770,Wade Baldwin,Vince Carter,Mike Conley,JaMychal Green,Zach Randolph,MEM,2,3.7,8,9,4,7,0,0,1,1,9
3771,Channing Frye,Kyrie Irving,LeBron James,James Jones,Iman Shumpert,CLE,1,2.1,5,4,3,6,0,0,3,4,9
3772,Tim Hardaway,Kris Humphries,Ryan Kelly,Kyle Korver,Taurean Waller-Prince,ATL,1,1.8,3,4,3,4,2,3,1,1,9
3773,Joel Bolomboy,Dante Exum,Gordon Hayward,Joe Ingles,Joe Johnson,UTA,1,2.2,4,5,3,3,1,1,2,4,9
3774,Marco Belinelli,Jeremy Lamb,Mike Tobey,Kemba Walker,Marvin Williams,CHO,1,2.1,4,5,3,3,1,1,2,2,9
3775,Jae Crowder,Al Horford,Kelly Olynyk,Isaiah Thomas,James Young,BOS,2,4.4,9,9,3,9,0,1,3,3,9
3776,Omri Casspi,Willie Cauley-Stein,Rudy Gay,Ty Lawson,Garrett Temple,SAC,1,4.6,9,9,4,9,1,3,0,0,9
3777,Paul George,Al Jefferson,Glenn Robinson,Kevin Seraphin,Jeff Teague,IND,4,3.7,7,8,3,6,1,3,2,3,9
3778,Anthony Bennett,Bojan Bogdanovic,Trevor Booker,Spencer Dinwiddie,Joe Harris,BRK,1,3.2,6,6,3,4,1,2,2,2,9
3779,Gerald Henderson,Richaun Holmes,T.J. McConnell,Dario Saric,Nik Stauskas,PHI,3,2.9,7,6,3,5,1,1,2,3,9
3780,Justin Holiday,Brandon Jennings,Mindaugas Kuzminskas,Kristaps Porzingis,Lance Thomas,NYK,3,4.4,10,9,3,6,1,2,2,5,9
3781,Trevor Booker,Joe Harris,Rondae Hollis-Jefferson,Sean Kilpatrick,Jeremy Lin,BRK,2,2.6,6,6,3,4,0,0,3,3,9
3782,Trevor Ariza,Corey Brewer,Sam Dekker,Eric Gordon,James Harden,HOU,1,1.5,3,4,3,4,2,3,1,1,9
3783,Avery Bradley,Jonas Jerebko,Amir Johnson,Terry Rozier,Isaiah Thomas,BOS,3,3.8,6,5,3,6,1,3,2,3,9
3784,Alex Abrines,Steven Adams,Semaj Christon,Jerami Grant,Victor Oladipo,OKC,4,4.9,10,9,3,8,2,5,1,2,9
3785,LaMarcus Aldridge,Kyle Anderson,Nicolas Laprovittola,Kawhi Leonard,Jonathon Simmons,SAS,2,2.2,4,5,4,4,1,1,0,1,9
3786,LaMarcus Aldridge,Kyle Anderson,Manu Ginobili,Tony Parker,Jonathon Simmons,SAS,1,3.7,6,7,3,5,0,1,3,3,9
3787,Jamal Crawford,Blake Griffin,Wesley Johnson,Austin Rivers,Marreese Speights,LAC,1,2.3,4,5,3,4,1,2,2,2,9
3788,Avery Bradley,Jae Crowder,Jonas Jerebko,Kelly Olynyk,Marcus Smart,BOS,3,5.4,13,14,4,7,0,3,1,2,9
3789,Timothe Luwawu-Cabarrot,T.J. McConnell,Nerlens Noel,Dario Saric,Nik Stauskas,PHI,4,3.7,8,10,1,4,0,1,7,8,9
3790,Tony Allen,Vince Carter,Toney Douglas,Marc Gasol,JaMychal Green,MEM,1,6.8,11,11,3,9,0,2,3,6,9
3791,Alex Abrines,Jerami Grant,Victor Oladipo,Domantas Sabonis,Russell Westbrook,OKC,4,3.2,9,8,3,6,0,0,3,3,9
3792,Tarik Black,Jordan Clarkson,Lou Williams,Nick Young,Ivica Zubac,LAL,2,5.8,10,11,3,11,0,2,3,3,9
3793,Jimmy Butler,Isaiah Canaan,Jerian Grant,Nikola Mirotic,Dwyane Wade,CHI,1,2.8,4,5,4,5,1,1,0,0,9
3794,Avery Bradley,Jaylen Brown,Terry Rozier,Marcus Smart,Tyler Zeller,BOS,1,3.4,5,6,3,3,0,0,3,4,9
3795,Anthony Bennett,Spencer Dinwiddie,Randy Foye,Justin Hamilton,Caris LeVert,BRK,1,5.7,11,11,3,10,1,1,2,5,9
3796,Jerami Grant,Joffrey Lauvergne,Victor Oladipo,Kyle Singler,Russell Westbrook,OKC,1,3.6,9,8,4,8,1,3,0,0,9
3797,Jaylen Brown,Jae Crowder,Jonas Jerebko,Marcus Smart,Tyler Zeller,BOS,2,6.7,14,13,4,12,0,4,1,2,9
3798,Andre Drummond,Tobias Harris,Darrun Hilliard,Stanley Johnson,Ish Smith,DET,2,4.4,8,7,3,7,0,0,3,3,9
3799,Ryan Anderson,Trevor Ariza,Corey Brewer,Bobby Brown,Eric Gordon,HOU,1,2.2,4,5,3,7,1,3,2,2,9
3800,Aron Baynes,Kentavious Caldwell-Pope,Reggie Jackson,Stanley Johnson,Marcus Morris,DET,3,6.5,13,14,3,12,0,4,3,3,9
3801,Tony Allen,Wade Baldwin,Troy Daniels,Marc Gasol,Jarell Martin,MEM,2,4.5,8,9,2,7,0,1,5,5,9
3802,Giannis Antetokounmpo,Malcolm Brogdon,John Henson,Greg Monroe,Jabari Parker,MIL,1,3.1,5,6,3,4,1,1,2,2,9
3803,Cristiano Felicio,Jerian Grant,Doug McDermott,Nikola Mirotic,Denzel Valentine,CHI,1,4.9,7,6,4,8,1,2,0,0,9
3804,Reggie Bullock,Tobias Harris,Reggie Jackson,Jon Leuer,Marcus Morris,DET,1,3.2,7,8,3,7,1,3,2,2,9
3805,Seth Curry,Dorian Finney-Smith,Wesley Matthews,Dwight Powell,Deron Williams,DAL,7,5.3,10,11,3,6,1,2,2,3,9
3806,Troy Daniels,JaMychal Green,Andrew Harrison,Jarell Martin,Zach Randolph,MEM,1,7.1,16,16,4,14,1,6,0,0,9
3807,LaMarcus Aldridge,Davis Bertans,Kawhi Leonard,Dejounte Murray,Jonathon Simmons,SAS,1,1.8,5,4,2,2,0,0,5,5,9
3808,Aaron Brooks,Al Jefferson,Glenn Robinson,Rodney Stuckey,Thaddeus Young,IND,3,3.8,7,6,2,5,0,2,5,5,9
3809,Kentavious Caldwell-Pope,Tobias Harris,Jon Leuer,Boban Marjanovic,Ish Smith,DET,2,3.9,11,9,2,5,0,0,5,7,9
3810,Matthew Dellavedova,Greg Monroe,Tony Snell,Mirza Teletovic,Rashad Vaughn,MIL,2,3.4,6,6,4,6,1,1,0,0,9
3811,Timothe Luwawu-Cabarrot,T.J. McConnell,Jahlil Okafor,Dario Saric,Hollis Thompson,PHI,1,2.7,5,5,3,5,3,3,0,0,9
3812,Jaylen Brown,Gerald Green,Amir Johnson,Terry Rozier,Marcus Smart,BOS,1,3.4,6,7,3,6,2,3,1,1,9
3813,Leandro Barbosa,Jared Dudley,Brandon Knight,Tyler Ulis,Alan Williams,PHO,2,4.2,8,10,3,8,2,4,1,2,9
3814,Jordan Clarkson,Luol Deng,D'Angelo Russell,Lou Williams,Nick Young,LAL,2,3.0,9,8,4,8,0,2,1,1,9
3815,Derrick Favors,Gordon Hayward,Rodney Hood,Joe Ingles,Joe Johnson,UTA,1,2.4,4,3,3,3,2,2,1,1,9
3816,Wilson Chandler,Kenneth Faried,Gary Harris,Juan Hernangomez,Jameer Nelson,DEN,1,3.9,8,7,3,5,1,1,2,2,9
3817,Leandro Barbosa,Jared Dudley,Alex Len,Tyler Ulis,T.J. Warren,PHO,1,5.3,11,11,4,10,1,2,0,0,9
3818,DeAndre' Bembry,Mike Dunleavy,Mike Muscala,Lamar Patterson,Mike Scott,ATL,2,2.4,4,4,4,4,0,0,1,1,9
3819,Tarik Black,Jordan Clarkson,Larry Nance Jr.,D'Angelo Russell,Lou Williams,LAL,5,3.0,7,7,2,5,1,2,4,4,9
3820,Leandro Barbosa,Devin Booker,P.J. Tucker,Tyler Ulis,Alan Williams,PHO,1,4.2,8,8,4,10,0,2,1,1,9
3821,Darrell Arthur,Will Barton,Wilson Chandler,Jameer Nelson,Jusuf Nurkic,DEN,3,5.0,11,11,3,8,1,1,2,2,9
3822,Kevin Durant,Andre Iguodala,Shaun Livingston,Patrick McCaw,Klay Thompson,GSW,2,2.7,5,4,4,5,1,1,0,1,9
3823,Cole Aldrich,Tyus Jones,Zach LaVine,Karl-Anthony Towns,Andrew Wiggins,MIN,1,4.1,9,8,3,5,1,2,2,3,9
3824,Isaiah Canaan,Cristiano Felicio,Doug McDermott,Bobby Portis,Dwyane Wade,CHI,1,3.1,7,6,4,6,1,2,0,0,9
3825,Ron Baker,Brandon Jennings,Mindaugas Kuzminskas,Kyle O'Quinn,Sasha Vujacic,NYK,1,2.7,8,7,3,4,1,1,2,3,9
3826,Ian Clark,Andre Iguodala,Shaun Livingston,Kevon Looney,Klay Thompson,GSW,2,4.5,8,8,4,10,0,2,1,1,9
3827,Darren Collison,DeMarcus Cousins,Kosta Koufos,Ty Lawson,Garrett Temple,SAC,3,6.4,11,13,4,9,1,3,0,2,9
3828,Brandon Jennings,Courtney Lee,Kristaps Porzingis,Derrick Rose,Lance Thomas,NYK,1,3.5,8,6,3,5,2,2,1,1,9
3829,Alex Abrines,Steven Adams,Semaj Christon,Enes Kanter,Andre Roberson,OKC,4,3.1,5,6,3,3,0,0,3,3,9
3830,Evan Fournier,Jeff Green,Mario Hezonja,Nikola Vucevic,C.J. Watson,ORL,1,4.0,7,7,4,8,1,4,0,0,9
3831,Avery Bradley,Al Horford,Amir Johnson,Marcus Smart,Isaiah Thomas,BOS,4,3.0,8,8,4,7,0,2,1,1,9
3832,Darrell Arthur,Alonzo Gee,Nikola Jokic,Emmanuel Mudiay,Jamal Murray,DEN,3,3.3,9,9,4,6,0,2,1,2,9
3833,Alexis Ajinca,Anthony Davis,Tyreke Evans,Solomon Hill,Jrue Holiday,NOP,1,5.4,11,11,4,13,1,6,0,0,9
3834,Matthew Dellavedova,Jabari Parker,Miles Plumlee,Mirza Teletovic,Jason Terry,MIL,1,2.4,4,6,4,6,0,1,1,1,9
3835,Marcelo Huertas,Brandon Ingram,Julius Randle,D'Angelo Russell,Ivica Zubac,LAL,1,3.5,6,6,3,4,3,3,0,0,9
3836,Anthony Bennett,Rondae Hollis-Jefferson,Caris LeVert,Jeremy Lin,Brook Lopez,BRK,2,3.5,9,9,2,6,2,3,3,6,9
3837,Jaylen Brown,Jonas Jerebko,Jordan Mickey,Marcus Smart,Isaiah Thomas,BOS,2,2.9,7,8,3,5,0,1,3,3,9
3838,Derrick Favors,Rodney Hood,Joe Ingles,Joe Johnson,Shelvin Mack,UTA,4,4.3,8,6,4,7,1,1,0,0,9
3839,Bojan Bogdanovic,Spencer Dinwiddie,Rondae Hollis-Jefferson,Caris LeVert,Luis Scola,BRK,3,7.3,15,15,4,12,0,2,1,2,9
3840,Anthony Bennett,Joe Harris,Rondae Hollis-Jefferson,Sean Kilpatrick,Isaiah Whitehead,BRK,2,4.5,10,9,4,9,1,4,0,0,9
3841,Ryan Anderson,Patrick Beverley,Clint Capela,Sam Dekker,James Harden,HOU,2,2.8,6,7,4,6,0,1,1,1,9
3842,Derrick Favors,Gordon Hayward,Rodney Hood,Joe Johnson,Shelvin Mack,UTA,2,5.2,13,12,2,7,0,2,5,7,9
3843,Jimmy Butler,Michael Carter-Williams,Cristiano Felicio,Doug McDermott,Denzel Valentine,CHI,1,3.4,7,7,3,6,2,3,1,2,9
3844,Kyle Lowry,Lucas Nogueira,Jakob Poeltl,Terrence Ross,Fred VanVleet,TOR,1,6.2,11,12,3,9,0,5,3,3,9
3845,Will Barton,Wilson Chandler,Danilo Gallinari,Gary Harris,Emmanuel Mudiay,DEN,3,3.4,7,8,3,7,1,2,2,2,9
3846,Kenneth Faried,Danilo Gallinari,Nikola Jokic,Emmanuel Mudiay,Jamal Murray,DEN,6,8.2,17,16,4,17,1,10,0,0,9
3847,Tarik Black,Jordan Clarkson,Brandon Ingram,Thomas Robinson,D'Angelo Russell,LAL,3,3.8,7,7,3,7,0,2,3,3,9
3848,Ian Clark,Kevon Looney,James Michael McAdoo,JaVale McGee,Klay Thompson,GSW,1,2.0,4,5,3,4,1,1,2,2,9
3849,Omri Casspi,Rudy Gay,Kosta Koufos,Ty Lawson,Anthony Tolliver,SAC,1,6.9,11,13,4,11,1,4,0,0,9
3850,Aron Baynes,Reggie Bullock,Stanley Johnson,Jon Leuer,Beno Udrih,DET,1,1.9,3,4,4,4,1,1,0,0,9
3851,Michael Carter-Williams,Cristiano Felicio,Doug McDermott,Bobby Portis,Rajon Rondo,CHI,1,2.5,6,6,2,6,1,3,4,4,9
3852,Robert Covington,Joel Embiid,Timothe Luwawu-Cabarrot,Sergio Rodriguez,Dario Saric,PHI,2,4.7,8,9,4,9,0,0,1,2,9
3853,Jamal Crawford,DeAndre Jordan,Luc Mbah a Moute,Austin Rivers,Marreese Speights,LAC,3,3.2,5,5,4,6,0,0,1,1,9
3854,Bradley Beal,Trey Burke,Kelly Oubre,Jason Smith,Marcus Thornton,WAS,3,3.7,6,8,4,6,0,2,1,1,9
3855,Omer Asik,Anthony Brown,Langston Galloway,Solomon Hill,Jrue Holiday,NOP,1,1.9,4,5,3,4,1,1,2,2,9
3856,Robert Covington,Joel Embiid,Ersan Ilyasova,Timothe Luwawu-Cabarrot,Nik Stauskas,PHI,1,2.3,5,5,3,4,1,2,2,3,9
3857,DeMarre Carroll,Lucas Nogueira,Norman Powell,Terrence Ross,Fred VanVleet,TOR,1,5.6,12,12,3,8,1,3,2,2,9
3858,Avery Bradley,Jonas Jerebko,Kelly Olynyk,Isaiah Thomas,James Young,BOS,1,2.5,5,6,4,8,0,0,1,1,9
3859,Jamal Crawford,DeAndre Jordan,Chris Paul,J.J. Redick,Austin Rivers,LAC,7,10.0,19,16,2,14,0,5,5,6,9
3860,Cory Joseph,Kyle Lowry,Jakob Poeltl,Terrence Ross,Pascal Siakam,TOR,1,4.0,4,5,4,8,1,3,0,0,9
3861,Pat Connaughton,Allen Crabbe,Ed Davis,C.J. McCollum,Noah Vonleh,POR,1,1.4,2,3,3,3,3,3,0,0,9
3862,Will Barton,Wilson Chandler,Emmanuel Mudiay,Jamal Murray,Jusuf Nurkic,DEN,5,3.3,6,6,3,4,1,1,2,2,9
3863,Malcolm Brogdon,Greg Monroe,Tony Snell,Mirza Teletovic,Jason Terry,MIL,3,8.6,17,17,4,14,1,4,0,0,9
3864,Robert Covington,Richaun Holmes,T.J. McConnell,Dario Saric,Hollis Thompson,PHI,2,5.4,10,11,4,10,1,4,0,0,9
3865,Cristiano Felicio,Doug McDermott,Nikola Mirotic,Denzel Valentine,Dwyane Wade,CHI,1,4.9,11,12,2,7,0,3,5,8,9
3866,Taj Gibson,Jerian Grant,Nikola Mirotic,Rajon Rondo,Paul Zipser,CHI,1,3.4,6,5,4,5,0,0,1,1,9
3867,Justin Holiday,Joakim Noah,Kristaps Porzingis,Derrick Rose,Lance Thomas,NYK,3,3.2,6,8,3,8,1,2,2,2,9
3868,Alex Abrines,Steven Adams,Victor Oladipo,Domantas Sabonis,Russell Westbrook,OKC,9,3.2,11,10,3,7,0,1,3,4,9
3869,Michael Carter-Williams,Cristiano Felicio,Jerian Grant,Nikola Mirotic,Dwyane Wade,CHI,1,7.4,13,14,4,15,1,2,0,0,9
3870,Jerryd Bayless,Richaun Holmes,Timothe Luwawu-Cabarrot,Dario Saric,Hollis Thompson,PHI,1,2.2,4,5,4,5,1,2,0,0,9
3871,Brandon Jennings,Courtney Lee,Maurice Ndour,Kristaps Porzingis,Lance Thomas,NYK,1,4.4,11,11,4,7,0,1,1,3,9
3872,Ian Clark,Kevin Durant,Shaun Livingston,James Michael McAdoo,Klay Thompson,GSW,4,7.0,11,12,4,15,0,3,1,1,9
3873,Alexis Ajinca,Anthony Davis,Tim Frazier,E'Twaun Moore,Lance Stephenson,NOP,1,3.6,8,9,3,11,1,3,2,2,9
3874,Luol Deng,Marcelo Huertas,Timofey Mozgov,D'Angelo Russell,Nick Young,LAL,2,5.8,13,12,3,5,0,2,3,4,9
3875,Anthony Bennett,Spencer Dinwiddie,Randy Foye,Rondae Hollis-Jefferson,Caris LeVert,BRK,1,1.9,5,5,3,3,1,1,2,2,9
3876,Taj Gibson,Robin Lopez,Doug McDermott,Rajon Rondo,Paul Zipser,CHI,1,3.7,7,8,4,7,0,1,1,1,9
3877,Carmelo Anthony,Justin Holiday,Brandon Jennings,Kyle O'Quinn,Derrick Rose,NYK,3,2.6,5,6,2,3,0,0,5,5,9
3878,Omer Asik,Langston Galloway,Buddy Hield,Jrue Holiday,Terrence Jones,NOP,1,3.5,9,8,2,5,1,3,4,5,9
3879,Brandon Bass,Raymond Felton,Austin Rivers,Marreese Speights,Diamond Stone,LAC,1,3.1,6,5,3,4,1,2,2,5,9
3880,Omer Asik,Cheick Diallo,Langston Galloway,Solomon Hill,Reggie Williams,NOP,1,6.6,14,14,4,10,1,5,0,0,9
3881,Anthony Bennett,Bojan Bogdanovic,Yogi Ferrell,Justin Hamilton,Sean Kilpatrick,BRK,1,5.0,9,10,4,10,0,4,1,2,9
3882,Corey Brewer,Clint Capela,Sam Dekker,Eric Gordon,K.J. McDaniels,HOU,3,2.7,6,7,4,7,1,2,0,2,9
3883,Brandon Bass,Jamal Crawford,Raymond Felton,Wesley Johnson,Austin Rivers,LAC,4,5.7,9,7,3,7,1,3,2,3,9
3884,Jamal Crawford,Luc Mbah a Moute,Chris Paul,J.J. Redick,Marreese Speights,LAC,2,2.6,5,6,3,4,1,1,2,2,9
3885,Omer Asik,Dante Cunningham,Tyreke Evans,Tim Frazier,Langston Galloway,NOP,1,2.2,3,4,4,4,1,1,0,1,9
3886,Aaron Brooks,Paul George,Glenn Robinson,Myles Turner,Thaddeus Young,IND,5,2.9,6,7,3,5,1,2,2,4,9
3887,Wayne Ellington,Tyler Johnson,Josh Richardson,Hassan Whiteside,Justise Winslow,MIA,1,4.5,8,8,3,8,2,4,1,1,9
3888,Gerald Green,Jonas Jerebko,Terry Rozier,Marcus Smart,Tyler Zeller,BOS,2,6.5,12,13,4,13,0,4,1,3,9
3889,Alan Anderson,Jamal Crawford,Raymond Felton,Blake Griffin,DeAndre Jordan,LAC,6,2.5,8,6,4,6,1,3,0,2,9
3890,Justin Anderson,Harrison Barnes,Yogi Ferrell,Devin Harris,Salah Mejri,DAL,1,4.4,7,6,2,4,0,0,5,7,9
3891,Jordan Clarkson,Marcelo Huertas,Brandon Ingram,D'Angelo Russell,Ivica Zubac,LAL,1,2.6,6,6,3,4,1,1,2,2,9
3892,Jared Dudley,Brandon Knight,Alex Len,P.J. Tucker,T.J. Warren,PHO,2,3.1,7,8,2,5,2,3,3,3,9
3893,Stephen Curry,Kevin Durant,Patrick McCaw,Klay Thompson,Anderson Varejao,GSW,1,1.6,5,5,4,6,0,0,1,1,9
3894,DeMar DeRozan,Jakob Poeltl,Norman Powell,Terrence Ross,Fred VanVleet,TOR,1,2.4,5,5,4,6,0,1,1,1,9
3895,Mike Dunleavy,Kay Felder,Channing Frye,LeBron James,Iman Shumpert,CLE,1,5.0,11,11,4,9,0,1,1,1,9
3896,Ian Clark,Stephen Curry,Draymond Green,Shaun Livingston,Patrick McCaw,GSW,2,3.7,8,9,3,6,1,4,2,4,9
3897,Kyrie Irving,Richard Jefferson,Kyle Korver,DeAndre Liggins,Tristan Thompson,CLE,1,3.3,6,6,4,5,0,0,1,1,9
3898,Kevin Durant,Draymond Green,Andre Iguodala,Patrick McCaw,Klay Thompson,GSW,3,5.1,12,13,3,6,0,1,3,4,9
3899,Malcolm Delaney,Mike Dunleavy,Tim Hardaway,Paul Millsap,Thabo Sefolosha,ATL,2,5.4,10,8,4,6,1,2,0,0,9
3900,Allen Crabbe,Maurice Harkless,Damian Lillard,Shabazz Napier,Mason Plumlee,POR,3,2.8,5,5,3,5,1,3,2,2,9
3901,Kent Bazemore,Malcolm Delaney,Paul Millsap,Mike Muscala,Taurean Waller-Prince,ATL,2,3.7,8,8,3,10,1,3,2,2,9
3902,Omer Asik,Anthony Davis,Langston Galloway,Solomon Hill,E'Twaun Moore,NOP,2,1.9,4,6,2,5,1,3,4,4,9
3903,Lavoy Allen,Paul George,Al Jefferson,C.J. Miles,Joe Young,IND,2,5.2,11,10,2,6,2,4,3,3,9
3904,Jordan Clarkson,Julius Randle,Thomas Robinson,Lou Williams,Nick Young,LAL,2,1.6,4,5,3,4,1,1,2,2,9
3905,Andrew Nicholson,Kelly Oubre,Tomas Satoransky,Jason Smith,Marcus Thornton,WAS,2,4.6,9,9,4,7,0,0,1,4,9
3906,Marquese Chriss,Jared Dudley,Derrick Jones,Ronnie Price,Tyler Ulis,PHO,1,4.7,11,10,4,9,1,2,0,1,9
3907,Langston Galloway,Solomon Hill,Jrue Holiday,E'Twaun Moore,Donatas Motiejunas,NOP,3,6.1,13,15,2,9,1,4,4,5,9
3908,Wilson Chandler,Kenneth Faried,Emmanuel Mudiay,Jamal Murray,Jusuf Nurkic,DEN,5,4.4,9,8,3,9,1,2,2,2,9
3909,Matt Barnes,Willie Cauley-Stein,DeMarcus Cousins,Ty Lawson,Malachi Richardson,SAC,2,2.6,4,6,4,5,0,1,1,1,9
3910,Ed Davis,C.J. McCollum,Shabazz Napier,Evan Turner,Noah Vonleh,POR,1,2.3,4,5,2,3,1,2,4,4,9
3911,Lavoy Allen,Aaron Brooks,Al Jefferson,Georges Niang,Rodney Stuckey,IND,2,2.6,4,5,2,2,1,1,4,4,9
3912,Matt Barnes,Omri Casspi,Darren Collison,DeMarcus Cousins,Garrett Temple,SAC,4,6.9,17,16,3,15,1,5,2,4,9
3913,Mike Dunleavy,Kay Felder,Channing Frye,James Jones,Iman Shumpert,CLE,1,3.1,7,7,3,5,1,3,2,2,9
3914,DeAndre Jordan,Chris Paul,J.J. Redick,Austin Rivers,Marreese Speights,LAC,4,5.6,11,11,3,9,0,3,3,3,9
3915,Luke Babbitt,Udonis Haslem,James Johnson,Rodney McGruder,Josh Richardson,MIA,1,1.8,4,5,3,6,1,4,2,2,9
3916,Aaron Brooks,Monta Ellis,Paul George,Al Jefferson,Thaddeus Young,IND,5,3.6,6,4,3,6,0,3,3,3,9
3917,Alex Abrines,Enes Kanter,Joffrey Lauvergne,Cameron Payne,Andre Roberson,OKC,3,2.6,6,5,3,3,0,0,3,4,9
3918,Stephen Curry,Draymond Green,Andre Iguodala,Shaun Livingston,Klay Thompson,GSW,12,5.2,12,13,3,12,1,4,2,6,9
3919,Rudy Gobert,Gordon Hayward,Joe Ingles,Joe Johnson,Raul Neto,UTA,5,5.1,8,8,4,9,0,3,1,2,9
3920,Anthony Bennett,Yogi Ferrell,Rondae Hollis-Jefferson,Chris McCullough,Isaiah Whitehead,BRK,1,3.8,9,8,3,4,1,2,2,2,9
3921,Kyrie Irving,Richard Jefferson,Kyle Korver,Iman Shumpert,Tristan Thompson,CLE,2,5.3,12,11,4,11,1,4,0,1,9
3922,Anthony Bennett,Spencer Dinwiddie,Joe Harris,Rondae Hollis-Jefferson,Brook Lopez,BRK,1,2.3,5,6,4,5,0,0,1,2,9
3923,Al-Farouq Aminu,Allen Crabbe,Ed Davis,Jake Layman,C.J. McCollum,POR,1,4.5,7,8,4,8,1,2,0,0,9
3924,DeAndre' Bembry,Malcolm Delaney,Mike Dunleavy,Kris Humphries,Mike Scott,ATL,1,3.1,6,6,1,2,1,2,6,7,9
3925,Cole Aldrich,Kris Dunn,Jordan Hill,Tyus Jones,Brandon Rush,MIN,1,4.0,7,7,2,4,1,3,4,4,9
3926,Bojan Bogdanovic,Trevor Booker,Randy Foye,Justin Hamilton,Sean Kilpatrick,BRK,4,2.1,4,4,2,4,1,2,4,4,9
3927,Metta World Peace,Jordan Clarkson,Brandon Ingram,Thomas Robinson,Lou Williams,LAL,1,2.7,6,5,4,6,1,2,0,0,9
3928,Cole Aldrich,Nemanja Bjelica,Zach LaVine,Shabazz Muhammad,Ricky Rubio,MIN,6,5.3,11,11,4,12,1,6,0,1,9
3929,Justin Holiday,Brandon Jennings,Joakim Noah,Kristaps Porzingis,Sasha Vujacic,NYK,1,1.8,3,4,4,6,1,1,0,0,9
3930,Marco Belinelli,Frank Kaminsky,Michael Kidd-Gilchrist,Kemba Walker,Marvin Williams,CHO,4,7.2,14,13,4,11,1,5,0,2,9
3931,Kyle Korver,Paul Millsap,Dennis Schroder,Mike Scott,Thabo Sefolosha,ATL,1,4.2,10,7,4,6,1,3,0,0,9
3932,Justin Holiday,Brandon Jennings,Courtney Lee,Kyle O'Quinn,Lance Thomas,NYK,2,4.1,9,7,4,7,1,1,0,3,9
3933,Dante Cunningham,Langston Galloway,Buddy Hield,Solomon Hill,Jrue Holiday,NOP,2,3.2,6,6,4,6,1,1,0,0,9
3934,Luol Deng,Brandon Ingram,Timofey Mozgov,Julius Randle,Lou Williams,LAL,4,4.0,11,10,3,7,1,3,2,3,9
3935,Carmelo Anthony,Ron Baker,Mindaugas Kuzminskas,Kyle O'Quinn,Kristaps Porzingis,NYK,1,4.5,7,8,3,8,2,4,0,0,8
3936,Jimmy Butler,Cristiano Felicio,Doug McDermott,Rajon Rondo,Denzel Valentine,CHI,2,4.0,7,8,3,8,1,4,1,1,8
3937,Trevor Booker,Randy Foye,Sean Kilpatrick,Jeremy Lin,Brook Lopez,BRK,1,4.0,9,8,2,7,0,3,4,4,8
3938,Bradley Beal,Trey Burke,Markieff Morris,Kelly Oubre,John Wall,WAS,3,3.7,7,6,4,6,0,1,0,0,8
3939,Kyle Anderson,Davis Bertans,David Lee,Dejounte Murray,Jonathon Simmons,SAS,1,1.9,4,4,3,3,1,1,1,2,8
3940,Jimmy Butler,Michael Carter-Williams,Taj Gibson,Rajon Rondo,Dwyane Wade,CHI,1,3.9,9,11,3,8,0,3,2,2,8
