,Player1,Player2,Player3,Player4,Player5,Team,GP,MP,POSS,DPOSS,DFGM,DFGA,D3PM,D3PA,DFTM,DFTA,DPTS
6638,Toney Douglas,James Ennis,JaMychal Green,Andrew Harrison,Brandan Wright,MEM,1,1.2,1,2,1,1,1,1,0,0,3
6639,Stephen Curry,Draymond Green,Andre Iguodala,Klay Thompson,David West,GSW,3,1.5,3,3,0,3,0,0,3,3,3
6640,Kyle Anderson,Davis Bertans,Pau Gasol,Kawhi Leonard,Tony Parker,SAS,1,1.8,4,4,1,2,0,1,1,1,3
6641,Giannis Antetokounmpo,Matthew Dellavedova,Khris Middleton,Greg Monroe,Jason Terry,MIL,1,2.5,5,5,0,2,0,1,3,4,3
6642,Boris Diaw,Dante Exum,Derrick Favors,George Hill,Joe Ingles,UTA,1,1.1,2,3,1,2,0,0,1,1,3
6643,Will Barton,Wilson Chandler,Nikola Jokic,Mike Miller,Jameer Nelson,DEN,1,1.0,2,2,1,2,1,2,0,0,3
6644,Jerian Grant,Robin Lopez,Doug McDermott,Bobby Portis,Rajon Rondo,CHI,2,2.0,4,3,1,2,1,2,0,0,3
6645,Robert Covington,Richaun Holmes,Timothe Luwawu-Cabarrot,Sergio Rodriguez,Nik Stauskas,PHI,1,1.5,3,3,1,1,1,1,0,0,3
6646,Channing Frye,Kyrie Irving,Iman Shumpert,J.R. Smith,Tristan Thompson,CLE,1,1.3,3,2,1,2,0,1,1,1,3
6647,Avery Bradley,Jae Crowder,Gerald Green,Al Horford,Marcus Smart,BOS,2,2.2,5,4,1,3,1,3,0,0,3
6648,Kenneth Faried,Juan Hernangomez,Emmanuel Mudiay,Jamal Murray,Jameer Nelson,DEN,1,1.0,2,2,1,2,1,2,0,0,3
6649,Giannis Antetokounmpo,Malcolm Brogdon,Jabari Parker,Miles Plumlee,Rashad Vaughn,MIL,1,1.7,4,4,1,2,0,1,1,1,3
6650,DeMar DeRozan,Kyle Lowry,Norman Powell,Terrence Ross,Jared Sullinger,TOR,1,1.6,3,4,1,1,0,0,1,1,3
6651,Goran Dragic,Tyler Johnson,Josh Richardson,Dion Waiters,Hassan Whiteside,MIA,3,1.9,6,4,0,1,0,1,3,4,3
6652,Allen Crabbe,Jake Layman,Meyers Leonard,C.J. McCollum,Noah Vonleh,POR,1,0.1,1,1,1,1,1,1,0,0,3
6653,Bojan Bogdanovic,Trevor Booker,Randy Foye,Justin Hamilton,Rondae Hollis-Jefferson,BRK,1,0.4,2,1,1,1,0,0,1,1,3
6654,Metta World Peace,Jordan Clarkson,Brandon Ingram,Julius Randle,Lou Williams,LAL,2,2.0,4,4,1,3,1,2,0,0,3
6655,Marco Belinelli,Michael Kidd-Gilchrist,Jeremy Lamb,Ramon Sessions,Cody Zeller,CHO,2,2.7,5,5,1,4,0,1,1,1,3
6656,Anthony Bennett,Bojan Bogdanovic,Trevor Booker,Joe Harris,Isaiah Whitehead,BRK,1,1.6,4,2,1,3,0,0,1,3,3
6657,Ron Baker,Justin Holiday,Mindaugas Kuzminskas,Maurice Ndour,Kyle O'Quinn,NYK,1,0.9,2,2,1,3,1,2,0,0,3
6658,Alonzo Gee,Juan Hernangomez,Nikola Jokic,Emmanuel Mudiay,Jamal Murray,DEN,1,3.5,6,5,1,5,1,2,0,0,3
6659,Enes Kanter,Victor Oladipo,Andre Roberson,Kyle Singler,Russell Westbrook,OKC,1,1.3,3,2,1,4,0,1,1,1,3
6660,Jae Crowder,Gerald Green,Al Horford,Jonas Jerebko,Marcus Smart,BOS,1,1.6,2,3,1,5,0,1,1,2,3
6661,Justin Holiday,Brandon Jennings,Mindaugas Kuzminskas,Maurice Ndour,Joakim Noah,NYK,2,1.4,4,4,1,2,0,1,1,1,3
6662,Semaj Christon,Nick Collison,Jerami Grant,Andre Roberson,Russell Westbrook,OKC,1,0.2,1,1,1,1,1,1,0,0,3
6663,Marcin Gortat,Markieff Morris,Kelly Oubre,Tomas Satoransky,John Wall,WAS,3,2.1,4,5,1,3,0,1,1,1,3
