,Name,GP,MP,USG%,TOV%,STL%,AST%,ORB%,DRB%,FTR,PF,FTM,FTA,RIM FGM,RIM FGA,3-10 FGM,3-10 FGA,10-16 FGM,10-16 FGA,16-23 FGM,16-23 FGA,3PM,3PA,DFGA,DFG%
370,Nikola Vucevic,55,1569,24.4,10.7,1.7,17.4,8.3,30.9,0.156,131,69,112,94,152,83,178,69,145,72,182,14,50,267,61.8
371,Sasha Vujacic,28,229,15.1,12.4,2,13.7,1.4,14,0.234,23,12,15,0,2,1,4,9,22,11,36,11,36,19,68.4
372,Dwyane Wade,48,1458,30,10.5,2.6,22.9,3.9,12.5,0.298,90,189,237,111,196,55,131,69,166,71,182,39,121,80,65
373,Dion Waiters,34,1049,26,12,1.5,23.1,1.5,11.3,0.193,77,64,96,90,180,12,40,6,25,44,102,58,151,102,54.9
374,Kemba Walker,55,1884,28.8,10.4,1.7,29.2,2,10.9,0.259,89,212,254,184,316,21,65,22,63,57,150,149,377,116,64.7
375,John Wall,53,1940,30.5,16.7,2.9,46.4,2.5,10.9,0.344,106,272,335,203,338,33,90,35,100,104,245,57,182,118,56.8
376,Taurean Waller-Prince,33,353,17.4,16.4,1.8,8.7,2.2,17.9,0.311,39,29,32,12,26,8,17,4,13,3,7,11,40,39,51.3
377,T.J. Warren,44,1278,19.5,5.7,1.9,5.3,6,8.9,0.188,117,76,97,94,138,50,122,38,96,35,86,18,73,91,62.6
378,C.J. Watson,46,774,13.8,14.9,2.1,15.6,1.4,8.3,0.317,56,49,57,18,36,5,11,7,17,14,38,25,74,39,71.8
379,David West,42,484,17,21.9,2.8,23.8,6.4,18.6,0.261,60,26,35,25,38,16,28,5,14,25,50,2,4,104,58.7
380,Russell Westbrook,57,1974,41.8,16.1,2.3,56.3,5.8,27.5,0.441,137,497,600,232,398,22,92,108,250,80,233,124,367,121,69.4
381,Okaro White,14,226,10.8,16.4,0.7,3.7,4.4,12.7,0.41,28,15,16,6,10,1,4,2,2,1,4,8,19,36,63.9
382,Isaiah Whitehead,48,1048,18.6,21,1.2,20.2,1.6,10,0.189,121,52,63,63,129,19,55,6,17,13,43,28,89,103,63.1
383,Hassan Whiteside,52,1712,22.7,12.4,1.1,3.4,11.8,35.2,0.358,160,134,236,213,285,113,254,24,70,21,51,0,0,336,49.1
384,Andrew Wiggins,57,2120,28.2,9.7,1.2,11.6,3.9,9.2,0.342,121,272,361,187,284,56,142,67,156,107,271,72,203,230,66.5
385,Alan Williams,23,164,20.3,16.5,2.1,1.9,20.2,30,0.455,37,14,25,15,26,12,25,2,4,,,0,0,40,72.5
386,Deron Williams,40,1171,23.8,16.5,1.1,40,1.2,9.4,0.185,96,69,84,32,59,30,62,23,51,47,100,63,181,68,70.6
387,Derrick Williams,29,468,19.2,7.9,1.1,5.5,3.7,16.2,0.427,39,43,67,32,57,2,9,7,10,10,24,12,53,44,65.9
388,Lou Williams,58,1403,30.6,11.9,2.3,22.8,1,9.5,0.469,67,304,344,97,150,58,137,31,86,18,47,122,316,85,70.6
389,Marvin Williams,50,1423,17.4,6.6,1.3,6.6,3.6,17.3,0.172,83,70,83,57,98,27,68,13,37,11,28,86,248,135,58.5
390,Troy Williams,24,418,17.3,16.9,3,7.3,1.6,10.6,0.205,42,15,25,32,57,4,12,2,4,3,8,10,41,27,55.6
391,Justise Winslow,18,625,19.9,11.8,2.2,15.7,4,12.5,0.208,52,29,47,34,74,22,58,3,14,14,46,7,35,66,65.2
392,Jeff Withey,32,252,14,11.9,1.9,1.2,12.8,19.5,0.519,29,22,28,23,40,2,9,2,2,1,2,0,1,78,60.3
393,Brandan Wright,8,111,20.8,5.9,1.4,1.7,10,10.5,0.205,9,5,9,19,32,2,5,4,6,0,1,0,1,18,61.1
394,James Young,20,154,14,4.2,1.6,3.9,4.4,11.7,0.163,11,5,7,7,8,2,5,1,4,1,2,9,21,13,61.5
395,Joe Young,25,121,28,5.3,1.6,18.9,0.9,11.9,0.197,5,9,13,6,11,3,5,3,10,7,17,5,23,9,88.9
396,Nick Young,51,1351,19.4,4.9,1.2,6.5,1.9,7.9,0.158,122,73,86,29,46,6,17,18,43,41,85,147,356,97,76.3
397,Thaddeus Young,49,1524,16.6,13.1,2.9,8.1,5.5,16.4,0.136,95,36,63,109,167,67,125,7,21,14,40,44,111,145,58.6
398,Cody Zeller,39,1044,16.6,12.6,1.4,8.7,9.3,16.7,0.473,124,92,133,116,178,29,57,5,9,11,29,0,0,195,52.8
399,Tyler Zeller,35,413,16.5,9.2,0.7,12.1,10.1,17.7,0.205,44,15,26,36,61,9,25,0,2,13,35,0,1,76,55.3
400,Paul Zipser,23,350,14.7,13.6,1,4.1,2.4,13.8,0.275,24,20,25,9,18,5,11,1,4,3,12,13,46,45,60
401,Ivica Zubac,23,305,20.1,12.5,0.8,6.4,9.6,22.8,0.209,32,18,24,26,52,24,48,3,7,5,7,0,0,107,57
