,Name,GP,MP,USG%,TOV%,STL%,AST%,ORB%,DRB%,FTR,PF,FTM,FTA,RIM FGM,RIM FGA,3-10 FGM,3-10 FGA,10-16 FGM,10-16 FGA,16-23 FGM,16-23 FGA,3PM,3PA,DFGA,DFG%
90,Dewayne Dedmon,50,865,12.6,14.1,1.6,4.7,11,31.2,0.365,121,46,65,87,123,16,38,4,10,4,7,0,0,138,49.3
91,Sam Dekker,58,1143,15.9,8.7,1.4,8.1,7.8,14,0.154,67,33,56,102,154,11,35,2,5,5,9,51,158,140,61.4
92,Malcolm Delaney,56,991,18.9,17.8,1.5,22.9,0.9,10.1,0.233,88,60,74,18,40,7,18,7,23,68,147,23,89,46,82.6
93,Matthew Dellavedova,50,1325,15.9,19.5,1.6,27.3,1.5,7.2,0.206,102,57,71,23,55,37,88,16,39,11,28,49,135,86,66.3
94,Luol Deng,54,1455,14.2,8.7,1.6,7,4.4,17.5,0.152,59,46,63,72,115,14,40,9,34,15,63,51,162,154,68.2
95,DeMar DeRozan,50,1775,34.2,8.6,1.6,19.3,3.1,13.9,0.407,95,364,431,102,148,116,250,129,268,125,318,19,75,101,67.3
96,Boris Diaw,48,872,15.6,22.1,0.8,18.4,3.6,9.1,0.112,59,19,24,54,78,13,32,8,16,5,30,15,57,103,61.2
97,Gorgui Dieng,57,1825,14.5,12.4,1.6,8.6,8.1,20.7,0.22,183,82,105,100,159,43,88,28,64,63,137,11,29,345,60.6
98,Spencer Dinwiddie,33,705,14.4,16,1.2,19.8,1.8,11.1,0.423,66,60,71,27,50,13,34,5,19,10,18,20,48,55,61.8
99,Toney Douglas,14,241,18.2,15.5,2.4,21,2.3,17,0.274,29,17,20,5,11,4,9,3,9,9,17,6,27,19,57.9
100,Goran Dragic,49,1680,26.6,15.3,1.5,31,2.4,10,0.331,137,193,246,125,201,63,133,57,131,36,92,80,187,140,57.9
101,Andre Drummond,56,1705,23.5,13,2.9,5.6,14.6,36.2,0.366,164,108,246,225,330,107,289,21,43,0,4,2,6,264,61.7
102,Jared Dudley,40,828,13.7,16,1.4,11.2,2.6,15.5,0.197,97,26,41,27,38,3,8,6,12,14,32,51,118,112,58
103,Mike Dunleavy,41,658,14,11.9,0.8,8.1,2.1,13,0.174,54,23,30,23,35,0,7,2,5,6,17,42,108,54,51.9
104,Kris Dunn,53,882,14.9,23.9,2.7,21.1,2.1,13.3,0.245,110,29,50,24,49,12,30,5,17,20,59,13,49,75,61.3
105,Kevin Durant,56,1912,27.8,10.4,1.6,22.4,2.1,22.9,0.374,107,311,355,203,255,54,113,68,154,81,144,107,286,245,58.8
106,Wayne Ellington,37,970,17.8,4.6,1.3,7.9,1.2,7.3,0.096,47,31,34,16,20,4,9,2,12,42,84,82,231,74,63.5
107,Monta Ellis,49,1331,16,18.9,1.7,17.8,0.7,10.7,0.273,99,74,94,52,79,30,58,12,33,30,89,24,79,74,68.9
108,Joel Embiid,31,786,36.2,17.9,1.7,16.4,8.5,25.6,0.569,112,191,244,89,140,30,81,27,73,18,37,36,98,187,43.9
109,James Ennis,44,1118,13.2,14.7,1.6,6.1,5.7,13.4,0.347,128,66,84,60,98,6,23,2,3,4,14,43,104,94,66
110,Tyler Ennis,31,196,19.5,26.9,1.5,24.5,2.3,8.5,0.047,29,2,3,14,21,5,19,0,3,0,5,6,16,20,80
111,Tyreke Evans,26,474,27.3,13.4,2.4,31.8,1.3,17.9,0.256,41,45,58,54,101,6,28,1,3,9,25,21,70,47,66
112,Dante Exum,42,779,17.7,15.3,0.9,14.1,2.3,8.7,0.159,97,31,37,58,101,9,18,3,8,4,9,26,96,59,62.7
113,Kenneth Faried,47,1048,17.3,10.9,1.6,5.9,15.6,24.3,0.54,101,115,167,135,210,35,76,4,11,1,8,0,5,142,62.7
114,Derrick Favors,40,938,20.7,11.4,2.1,7.5,8.6,20.8,0.296,84,61,96,66,118,30,60,25,57,27,72,2,8,164,53.7
115,Kay Felder,35,342,22.4,13.2,1.9,20.7,1,10,0.341,35,32,45,22,43,1,17,7,18,17,34,7,20,16,68.8
116,Cristiano Felicio,48,753,12.5,10.1,1.2,5.7,14,19.6,0.478,83,51,77,73,112,7,19,2,6,6,21,0,0,168,60.1
117,Raymond Felton,54,1233,17.1,12.9,1.8,17.4,2.6,11.8,0.104,99,32,41,69,110,20,55,8,24,33,89,43,116,87,71.3
118,Yogi Ferrell,20,481,19.7,15.4,1.9,21.5,1.8,8.4,0.247,35,32,39,18,31,2,7,7,17,8,25,30,75,29,58.6
119,Dorian Finney-Smith,55,1143,11.1,12.7,1.6,6.1,3.2,11.9,0.221,93,36,47,34,51,6,15,0,5,4,13,40,128,108,61.1
120,Evan Fournier,45,1488,23.7,12.8,1.4,17.1,2.2,8.8,0.29,126,146,178,100,166,38,96,22,45,28,76,74,216,94,62.8
121,Randy Foye,43,813,15.3,20.6,1,16.3,1.1,12.3,0.172,61,30,37,22,41,8,23,1,4,4,17,44,130,71,59.2
122,Tim Frazier,41,1028,18,18.9,1.8,33.9,2.1,9.9,0.336,95,79,99,56,90,13,49,5,21,22,52,29,83,77,71.4
123,Channing Frye,48,890,20,8.1,1,5.5,3.6,18.3,0.146,90,43,51,26,46,13,32,9,20,11,23,93,228,174,59.8
124,Danilo Gallinari,44,1504,19.3,8.9,0.9,9.4,1.8,14.4,0.521,67,236,266,69,108,15,37,16,54,41,102,80,210,113,66.4
125,Langston Galloway,55,1120,19.5,5.7,1.7,8.9,1.9,9.6,0.118,76,40,52,20,41,4,22,8,22,31,88,101,268,71,60.6
126,Marc Gasol,55,1891,26.9,10.6,1.4,24,2.6,18.3,0.308,133,231,273,,,,,,,,,77,200,298,51.7
127,Pau Gasol,39,1029,20.1,10.7,0.8,16.1,6.7,26.8,0.277,66,65,101,50,80,43,88,14,41,59,113,20,43,191,56.5
128,Rudy Gay,30,1013,25.7,12.8,2.3,14.2,4,17.8,0.312,79,118,138,71,103,40,93,24,62,24,71,42,113,97,48.5
129,Paul George,50,1786,28.1,12.7,2.2,15.5,2.7,16.4,0.279,131,222,243,71,115,40,93,45,110,113,243,115,300,148,66.9
130,Jonathan Gibson,17,231,26.4,16.3,1.8,18.7,0.5,11.2,0.305,21,21,29,7,17,2,6,5,9,6,18,15,45,17,82.4
131,Taj Gibson,55,1502,19.1,11.7,0.9,6.6,8.5,19.3,0.225,123,85,119,149,217,66,150,30,74,24,68,2,12,210,53.3
132,Manu Ginobili,49,904,20.9,15.5,3,19.5,2.3,11.6,0.265,82,69,84,33,65,11,43,10,31,2,19,65,160,44,70.5
133,Rudy Gobert,57,1910,16.1,15.9,1.1,4.9,13.7,29.2,0.831,172,221,334,236,330,15,58,2,3,0,1,0,1,447,48.5
134,Aaron Gordon,56,1548,19.6,9.1,1.3,11.2,5.1,13.4,0.244,117,89,137,116,169,19,58,23,56,26,87,56,192,134,59
135,Eric Gordon,52,1586,23.6,10.4,0.9,14.2,1.2,8.5,0.159,105,98,117,82,131,26,77,2,11,14,39,184,478,99,65.7
136,Marcin Gortat,55,1898,14.4,13.6,0.8,6.6,10.7,26.3,0.226,163,75,110,186,267,67,134,30,67,2,9,0,1,389,59.1
137,Treveon Graham,18,106,10.2,8.2,0.9,6.6,2,12.1,0.556,14,7,10,1,5,0,2,1,1,0,2,5,8,8,87.5
138,Jerami Grant,56,1189,12.2,9.1,1,4,2.4,12,0.461,111,73,119,64,100,15,38,0,10,7,24,32,84,144,52.8
139,Jerian Grant,46,757,16.3,13.1,2.2,14.1,1.6,8.7,0.268,72,54,59,24,41,6,22,13,28,13,34,32,92,65,66.2
140,Danny Green,48,1282,13.2,13.9,2,9.3,1.6,12,0.057,87,15,18,19,31,11,26,2,13,8,18,92,227,134,63.4
141,Draymond Green,53,1744,15.5,19.4,3,27.9,4.9,21.3,0.325,157,97,144,117,177,11,61,3,12,3,12,58,182,309,48.5
142,Gerald Green,36,410,22.7,7.7,0.9,11.2,4.1,13.7,0.144,39,21,26,12,22,6,18,13,31,8,22,30,82,37,75.7
143,JaMychal Green,56,1599,14.2,14.3,1.3,6.8,8.6,20.9,0.344,198,103,129,99,165,9,29,8,22,27,53,39,106,153,59.5
144,Jeff Green,56,1301,20.3,11,1.1,7.7,2.6,12,0.3,80,121,140,58,104,32,78,22,52,23,64,46,164,152,70.4
145,Blake Griffin,36,1198,29.6,10.8,1.6,26.3,7.3,21.4,0.413,91,188,248,,,,,,,,,11,36,140,66.4
146,Justin Hamilton,48,939,15.4,10,1.2,6.6,6.6,17.2,0.11,68,23,32,51,70,25,48,7,17,3,7,45,148,221,58.8
