P1 Sorted,P2 Sorted,P3 Sorted,P4 Sorted,P5 Sorted,Sum of POSS,Sum of DPOSS,Sum of PTS,Sum of DPTS,Sum of ORTG,Sum of DRTG,Sum of Net RTG
0,2,7,7,7,42,40,42,49,100,122.5,-22.5
0,0,0,4,6,33,28,36,37,109.09,132.14,-23.05
0,2,3,4,5,76,71,52,65,68.42,91.55,-23.13
0,3,3,4,8,8,9,7,10,87.5,111.11,-23.61
1,2,2,4,5,122,122,100,129,81.97,105.74,-23.77
0,0,0,0,8,52,51,59,70,113.46,137.25,-23.79
0,0,1,3,4,308,319,273,359,88.64,112.54,-23.9
2,5,5,7,8,13,15,9,14,69.23,93.33,-24.1
2,4,5,5,8,29,29,27,34,93.1,117.24,-24.14
3,3,6,8,8,71,73,76,96,107.04,131.51,-24.47
1,2,4,6,6,250,254,220,286,88,112.6,-24.6
0,2,2,5,7,41,42,24,35,58.54,83.33,-24.79
0,0,2,6,8,76,80,69,93,90.79,116.25,-25.46
0,2,4,7,8,15,16,13,18,86.67,112.5,-25.83
0,2,2,6,6,287,272,278,334,96.86,122.79,-25.93
0,2,6,8,8,71,72,79,99,111.27,137.5,-26.23
0,2,2,6,8,11,11,11,14,100,127.27,-27.27
0,4,5,5,6,10,11,10,14,100,127.27,-27.27
1,1,3,3,6,106,106,96,125,90.57,117.92,-27.35
2,3,3,6,6,180,181,159,210,88.33,116.02,-27.69
0,0,0,0,2,61,58,63,76,103.28,131.03,-27.75
0,2,3,4,7,25,25,25,32,100,128,-28
2,3,6,8,8,77,77,60,82,77.92,106.49,-28.57
3,4,4,4,8,28,28,22,30,78.57,107.14,-28.57
0,0,1,2,4,290,289,271,355,93.45,122.84,-29.39
0,3,3,6,8,216,225,186,261,86.11,116,-29.89
0,4,5,6,7,16,20,8,16,50,80,-30
2,7,7,7,8,5,6,6,9,120,150,-30
0,1,5,8,8,4,5,2,4,50,80,-30
0,3,6,8,8,161,152,145,183,90.06,120.39,-30.33
1,4,4,6,6,23,23,15,22,65.22,95.65,-30.43
0,6,7,7,8,29,25,19,24,65.52,96,-30.48
1,1,6,6,6,37,43,30,48,81.08,111.63,-30.55
1,6,6,6,7,161,163,134,186,83.23,114.11,-30.88
5,5,6,7,8,94,91,99,124,105.32,136.26,-30.94
1,3,3,6,7,27,30,15,26,55.56,86.67,-31.11
0,0,1,7,7,32,32,36,46,112.5,143.75,-31.25
3,3,6,7,8,51,49,41,55,80.39,112.24,-31.85
3,6,6,6,7,60,69,53,83,88.33,120.29,-31.96
0,0,2,4,4,47,46,40,54,85.11,117.39,-32.28
1,3,5,7,7,3,2,2,2,66.67,100,-33.33
3,5,5,7,7,3,4,2,4,66.67,100,-33.33
1,1,5,7,8,6,6,6,8,100,133.33,-33.33
0,4,6,6,6,2,3,2,4,100,133.33,-33.33
0,2,4,4,6,56,63,53,81,94.64,128.57,-33.93
0,2,3,4,6,151,136,143,175,94.7,128.68,-33.98
1,2,2,3,3,13,14,16,22,123.08,157.14,-34.06
0,1,2,3,3,84,81,76,102,90.48,125.93,-35.45
0,5,5,7,7,53,52,53,71,100,136.54,-36.54
0,0,1,6,8,17,19,17,26,100,136.84,-36.84
1,2,3,4,5,28,26,23,31,82.14,119.23,-37.09
2,4,5,6,6,35,35,29,42,82.86,120,-37.14
0,0,2,3,7,23,18,8,13,34.78,72.22,-37.44
0,4,5,6,8,42,45,47,68,111.9,151.11,-39.21
2,3,4,4,7,5,4,3,4,60,100,-40
2,2,5,6,7,21,25,15,28,71.43,112,-40.57
0,1,2,5,7,88,89,87,125,98.86,140.45,-41.59
0,6,6,8,8,19,19,15,23,78.95,121.05,-42.1
1,1,2,4,6,13,14,13,20,100,142.86,-42.86
0,1,2,3,7,151,146,111,170,73.51,116.44,-42.93
0,0,0,3,3,9,8,4,7,44.44,87.5,-43.06
0,4,6,8,8,11,10,15,18,136.36,180,-43.64
1,2,4,4,8,36,36,38,54,105.56,150,-44.44
1,4,4,4,6,18,18,18,26,100,144.44,-44.44
2,4,4,6,6,56,56,47,73,83.93,130.36,-46.43
1,4,5,5,8,10,11,8,14,80,127.27,-47.27
3,3,3,5,8,8,8,10,14,125,175,-50
0,2,7,7,8,4,8,4,12,100,150,-50
3,4,5,6,6,3,2,3,3,100,150,-50
0,3,5,7,7,2,2,2,3,100,150,-50
1,4,6,6,7,35,36,26,45,74.29,125,-50.71
3,6,7,8,8,28,32,19,38,67.86,118.75,-50.89
0,1,1,3,6,66,68,39,75,59.09,110.29,-51.2
0,1,1,6,6,24,26,20,35,83.33,134.62,-51.29
1,1,6,6,8,7,8,6,11,85.71,137.5,-51.79
0,0,4,6,7,69,70,49,86,71.01,122.86,-51.85
1,1,6,8,8,20,19,19,28,95,147.37,-52.37
6,6,6,6,7,7,6,8,10,114.29,166.67,-52.38
1,3,3,4,4,14,13,12,18,85.71,138.46,-52.75
0,0,0,3,4,20,16,24,28,120,175,-55
1,1,3,4,4,15,13,12,18,80,138.46,-58.46
0,4,4,8,8,5,4,2,4,40,100,-60
0,0,4,6,8,23,25,16,33,69.57,132,-62.43
2,2,4,5,6,16,13,13,19,81.25,146.15,-64.9
0,0,5,7,7,13,20,13,33,100,165,-65
0,0,1,2,2,31,32,21,43,67.74,134.38,-66.64
2,2,3,3,3,12,12,8,16,66.67,133.33,-66.66
0,3,4,4,4,3,3,3,5,100,166.67,-66.67
1,3,5,5,8,2,3,2,5,100,166.67,-66.67
2,4,4,5,8,2,3,2,5,100,166.67,-66.67
1,2,3,5,5,9,6,3,6,33.33,100,-66.67
0,0,0,4,5,3,3,0,2,0,66.67,-66.67
3,4,6,8,8,7,8,3,9,42.86,112.5,-69.64
2,2,4,6,7,7,6,9,12,128.57,200,-71.43
4,5,6,6,6,15,15,10,21,66.67,140,-73.33
0,2,4,7,7,11,9,9,14,81.82,155.56,-73.74
0,3,6,7,7,8,6,10,12,125,200,-75
3,4,5,6,7,4,1,5,2,125,200,-75
0,2,2,3,8,14,15,10,22,71.43,146.67,-75.24
5,5,6,7,7,11,6,10,10,90.91,166.67,-75.76
1,4,5,6,8,9,9,4,11,44.44,122.22,-77.78
2,4,4,6,8,9,9,7,14,77.78,155.56,-77.78
3,3,5,7,8,22,18,24,34,109.09,188.89,-79.8
0,3,3,6,7,5,5,2,6,40,120,-80
0,3,5,5,7,5,3,6,6,120,200,-80
1,3,6,7,7,12,12,6,16,50,133.33,-83.33
3,4,6,6,7,4,3,2,4,50,133.33,-83.33
1,4,6,6,8,13,12,9,19,69.23,158.33,-89.1
0,1,1,2,4,27,32,14,46,51.85,143.75,-91.9
0,0,1,1,2,12,10,10,18,83.33,180,-96.67
0,0,3,5,5,6,4,3,6,50,150,-100
2,3,4,4,6,2,3,0,3,0,100,-100
0,2,2,2,4,1,1,0,1,0,100,-100
0,3,3,3,6,1,1,0,1,0,100,-100
1,5,6,8,8,1,1,0,1,0,100,-100
2,2,3,4,8,1,1,0,1,0,100,-100
2,3,4,5,7,1,2,0,2,0,100,-100
0,0,2,2,8,0,1,0,1,0,100,-100
0,1,1,4,4,7,7,3,10,42.86,142.86,-100
0,5,7,8,8,7,7,3,10,42.86,142.86,-100
0,0,0,0,6,5,6,4,11,80,183.33,-103.33
1,2,3,3,8,4,5,3,9,75,180,-105
3,4,5,8,8,9,9,4,14,44.44,155.56,-111.12
1,1,2,3,5,4,3,2,5,50,166.67,-116.67
1,3,4,5,8,14,13,9,24,64.29,184.62,-120.33
0,1,3,4,7,10,12,6,24,60,200,-140
0,1,4,5,7,5,4,3,8,60,200,-140
0,6,6,7,7,3,5,3,12,100,240,-140
1,1,2,4,4,8,6,2,10,25,166.67,-141.67
0,1,1,5,5,3,2,0,3,0,150,-150
0,2,4,5,7,2,2,0,3,0,150,-150
0,1,1,3,3,1,2,0,3,0,150,-150
6,7,7,7,8,1,2,0,3,0,150,-150
0,0,3,4,6,6,5,2,10,33.33,200,-166.67
0,0,4,8,8,6,6,0,11,0,183.33,-183.33
0,0,1,1,6,8,8,2,18,25,225,-200
2,2,4,4,4,8,8,8,24,100,300,-200
3,3,4,4,8,4,6,0,12,0,200,-200
3,6,6,7,7,4,4,2,10,50,250,-200
1,1,5,7,7,3,3,2,8,66.67,266.67,-200
2,2,6,6,8,2,2,0,4,0,200,-200
0,0,7,7,7,1,1,0,2,0,200,-200
1,2,5,7,8,2,1,1,3,50,300,-250
0,4,7,7,8,4,4,0,12,0,300,-300
3,3,5,5,7,2,1,2,4,100,400,-300
1,2,3,3,3,1,1,0,4,0,400,-400
